NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Arch_Diff,SWTI,SWTII,SWTIII
1,Admin Login,19,40,0,38,12,20,6,0,0,0,0,0,0,0,19,0,0,1.7590361445783131,0,0,0,10,9,7
2,Bill partner for redemption transaction,38,29,0,25,10,14,1,0,0,2,0,2,0,2,36,2,146,3.7244094488188977,127,0,543.7637795275591,20,20,19
3,Delete Partner Account,7,17,0,15,8,6,1,0,0,1,0,1,0,1,6,1,33,1.6923076923076923,26,0,55.84615384615385,10,9,7
4,Notify Partner of Redemption,17,29,0,26,12,13,1,0,0,1,0,1,0,1,16,1,130,3.646017699115044,113,0,473.98230088495575,20,20,19
5,Reactive Partner Account,7,14,0,11,5,4,2,0,0,2,0,2,0,2,5,2,17,1.8888888888888888,13.5,0,32.11111111111111,20,18,14
6,Resolve Dispute,30,23,0,21,6,11,4,0,0,0,0,0,0,0,30,0,0,2.3087248322147653,0,0,0,15,12,9
7,Suspend Partner Account Storyboard,16,26,0,23,9,8,6,0,0,2,0,2,0,2,14,2,39.5,2.4285714285714284,31.5,0,95.92857142857142,15,15,12
8,Validate Redemption Password,1,17,0,16,7,8,1,0,0,0,0,0,0,0,1,0,0,2.3333333333333335,0,0,0,15,15,12
9,View Partner Billing status storyboard,18,14,0,13,3,6,4,0,0,0,0,0,0,0,18,0,0,2.290909090909091,0,0,0,20,20,19
10,View Transaction Log,12,21,0,20,6,9,5,0,0,0,0,0,0,0,12,0,0,1.6666666666666667,0,0,0,15,12,9
11,View redemption statistics for partner storyboard,59,23,0,21,4,12,5,0,0,0,0,0,0,0,59,0,0,2.553246753246753,0,0,0,20,20,19
12,Connect to trip plan - Android,2,13,0,12,4,7,1,0,0,0,0,0,0,0,2,0,0,1.7,0,0,0,20,18,14
13,Login to tripplanner - Android,44,35,0,33,11,19,3,0,0,0,0,0,0,0,44,0,0,6.771986970684039,0,0,0,30,45,22
14,Receive Coupon - Android,44,29,0,25,7,15,3,2,0,2,2,22,0,4,22,22,11.045454545454545,2.6884422110552766,9.045454545454545,0,29.695066240292373,15,15,12
15,Redeem Coupon - Android,5,20,0,17,8,6,3,0,0,0,0,0,0,0,5,0,0,1.894736842105263,0,0,0,20,18,14
16,Save it for later,5,13,0,12,4,6,2,0,0,0,0,0,0,0,5,0,0,1.7096774193548387,0,0,0,20,18,14
17,View stored coupons - Android,6,15,0,14,6,4,4,0,0,0,0,0,0,0,6,0,0,1.5,0,0,0,15,12,9
18,Connect to trip plan - iOS,2,9,0,8,3,5,0,0,0,0,0,0,0,0,2,0,0,1.3333333333333333,0,0,0,20,18,14
19,Login to tripplanner - iOS,44,35,0,33,11,19,3,0,0,0,0,0,0,0,44,0,0,6.771986970684039,0,0,0,30,30,25
20,Receive Coupon - iOS,18,21,0,17,7,8,2,0,0,2,0,2,0,2,16,2,40.5,2.761904761904762,31.5,0,111.85714285714286,15,15,12
21,Redeem Coupon - iOS,4,17,0,14,8,6,0,0,0,0,0,0,0,0,4,0,0,1.7142857142857142,0,0,0,15,12,9
22,Save it for lateer,3,10,0,9,3,4,2,0,0,0,0,0,0,0,3,0,0,1.25,0,0,0,20,18,14
23,View stored coupons - iOS,3,12,0,11,5,3,3,0,0,0,0,0,0,0,3,0,0,1.2857142857142858,0,0,0,15,12,9
24,Buy Partner Subscription,4,17,0,13,7,5,1,0,0,0,0,0,0,0,4,0,0,1.8461538461538463,0,0,0,20,18,14
25,Cancel Partner Subscription,7,14,0,11,5,5,1,0,0,0,0,0,0,0,7,0,0,1.6428571428571428,0,0,0,15,12,9
26,Contact us,22,28,0,23,9,11,3,1,0,3,1,4,0,4,18,4,34.25,2.0608695652173914,28.75,0,70.58478260869566,15,15,12
27,Create Account,16,25,0,23,6,14,3,0,0,0,0,0,0,0,16,0,0,2.090909090909091,0,0,0,20,20,19
28,Create Offer,26,35,1,31,9,17,4,2,0,0,2,2,0,2,24,2,118,2.3714285714285714,105,0,279.8285714285714,15,15,12
29,Design Coupon,6,15,1,13,2,7,3,1,0,0,1,1,0,1,5,1,22,1.1875,16,0,26.125,15,12,9
30,Modify Offer,3,8,0,7,4,2,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,15,12,9
31,Partner Login,7,25,0,12,4,7,1,0,0,1,0,1,0,1,6,1,44,1.5675675675675675,37,0,68.97297297297297,10,9,7
32,Publish Offer,6,15,0,12,4,8,0,0,0,0,0,1,0,0,5,1,27,1.7619047619047619,21,0,47.57142857142857,10,9,7
33,Specify default payment method use case,61,33,0,29,7,14,8,0,0,0,0,0,0,0,61,0,0,4.870801033591731,0,0,0,30,30,25
34,Test Coupon,4,16,0,13,3,6,4,0,0,0,0,0,0,0,4,0,0,1.7692307692307692,0,0,0,15,12,9
35,Upload Image,6,15,0,10,8,2,0,0,0,3,0,3,0,3,3,3,6,1.5,4,0,9,10,9,7
36,View Bill,11,20,0,19,5,10,4,0,0,0,0,0,0,0,11,0,0,1.4395604395604396,0,0,0,20,18,14
37,Annotate trip plan,164,26,0,25,7,12,6,0,0,0,0,0,0,0,164,0,0,3.154589371980676,0,0,0,30,30,25
38,Connect to trip plan - Trip Planner,29,18,0,16,6,9,1,0,0,0,0,0,0,0,29,0,0,2.7142857142857144,0,0,0,30,30,25
39,Find add and delete places,687,43,0,41,15,24,2,0,0,0,0,0,0,0,687,0,0,4.6255802589787445,0,0,0,15,15,12
40,Login to TripPlanner,3,11,0,10,4,5,1,0,0,0,0,0,0,0,3,0,0,1.6666666666666667,0,0,0,20,18,14
41,Manage Trip Plan,58,23,0,21,11,9,1,0,0,0,0,0,0,0,58,0,0,2.791208791208791,0,0,0,20,20,19
42,Manage subscription,29,22,0,21,11,9,1,0,0,0,0,0,0,0,29,0,0,1.9130434782608696,0,0,0,20,18,14
43,Print photo books,614,27,0,24,10,10,4,0,0,0,0,0,0,0,614,0,0,6.083647583133356,0,0,0,15,15,12
44,Schedule visit and view trip calendar,16,13,0,11,4,6,1,0,0,0,0,0,0,0,16,0,0,2.2972972972972974,0,0,0,15,15,12
45,Subscribe and unsubscribe from partner offer,15,22,0,20,5,11,4,0,0,0,0,0,0,0,15,0,0,1.9523809523809523,0,0,0,20,18,14
46,View Trip Plan on Map and get Directions,6,15,0,14,2,8,4,0,0,0,0,0,0,0,6,0,0,1.206896551724138,0,0,0,20,18,14
47,View partner offer,7,19,0,18,5,10,3,0,0,0,0,0,0,0,7,0,0,1.6216216216216217,0,0,0,15,12,9
