id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Actor,actor,3,0,Use Case Model,Search by event,
2,Pop up daabase Error Message,control,1,1,Use Case Model,Search by event,
3,Pop up Server Error Message,control,1,1,Use Case Model,Search by event,
4,Event Collection,entity,2,2,Use Case Model,Search by event,
5,Search API,control,3,1,Use Case Model,Search by event,
6,Show Empty Result Page,boundary,1,2,Use Case Model,Search by event,
7,Search Result Page,boundary,1,3,Use Case Model,Search by event,
8,Valid Input Text,control,1,2,Use Case Model,Search by event,
9,Perform Default Search,control,1,2,Use Case Model,Search by event,
10,Search Event Homepage,boundary,1,4,Use Case Model,Search by event,
