id,attribute,type,element
1,questions,EAJava_void,CategoryModel
2,title,EAJava_void,CategoryModel
3,undefined,EAID_F2F589C9_8F7F_4e61_88E6_9295D2F8F1E5,CategoryModel
4,label,EAJava_void,QuestionModel
5,text,EAJava_void,QuestionModel
6,answers,EAJava_void,QuestionModel
7,undefined,EAID_E73E0EA4_BFA4_4a54_B8B9_915694B30C0D,QuestionModel
8,tile,EAJava_void,SphereModel
9,categories,EAJava_void,SphereModel
10,permissions,EAJava_void,SphereModel
11,undefined,EAID_D014A5E5_3FC9_42fe_81AA_4E0373FBAAAE,SphereModel
12,name,EAJava_void,UserModel
13,email,EAJava_void,UserModel
14,password,EAJava_void,UserModel
15,spheres,EAJava_void,UserModel
