id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Actor,actor,3,0,Use Case Model,Take photo for location,
2,failed to get current location,control,1,1,Use Case Model,Take photo for location,
3,failed to upload,control,1,1,Use Case Model,Take photo for location,
4,my upload,entity,2,1,Use Case Model,Take photo for location,
5,upload to current location,control,1,1,Use Case Model,Take photo for location,
6,get location successfully,control,1,1,Use Case Model,Take photo for location,
7,current location,boundary,1,3,Use Case Model,Take photo for location,
8,camera,entity,2,1,Use Case Model,Take photo for location,
9,upload choice,boundary,1,3,Use Case Model,Take photo for location,
10,upload,control,1,1,Use Case Model,Take photo for location,
11,Upload finished,control,1,1,Use Case Model,Take photo for location,
12,upload choice,boundary,0,4,Use Case Model,Take photo for location,
