Team. NO.,Semester,PROJ,Type,PREC,FLEX,RESL,TEAM,PMAT,RELY,DATA,CPLX,RUSE,DOCU,TIME,STOR,PVOL,ACAP,PCAP,PCON,APEX,PLEX,LTEX,TOOL,SITE,SCED
3,Spring 2015,f15a_linggo,Java app,H,H,L,H,L,,,,,,,,,,,,,,,,,
,,,Module 1,,,,,,N,H,N,VH,N,N,N,L,H,H,H,L,VL,L,VH,XH,N
,,,Module 2,,,,,,N,L,N,VH,VL,N,N,L,H,H,H,L,VL,L,VH,XH,N
,,,Module 3,,,,,,L,N,N,VH,N,N,N,L,H,H,H,L,VL,L,VH,XH,N
,,,Module 4,,,,,,H,N,N,VH,L,N,N,L,H,H,H,L,VL,L,VH,XH,N
,,,Module 5,,,,,,N,H,N,VH,N,H,N,L,H,H,H,L,L,L,VH,XH,N
,,,Module 6,,,,,,N,N,N,VH,N,N,N,L,H,H,H,N,N,N,VH,XH,N
4,Spring 2015,s16b_flower_seeker,Web,L,N,L,VH,N,,,,,,,,,,,,,,,,,
,,,User management system,,,,,,H,H,N,L,N,N,N,N,N,L,VH,L,VL,L,N,H,
,,,Flower management system,,,,,,H,H,N,L,N,N,H,N,N,L,VH,L,VL,L,N,H,
,,,Payment system,,,,,,H,N,VH,L,N,N,N,N,N,L,VH,L,VL,L,N,H,
,,,Order management system,,,,,,H,N,N,L,N,N,N,N,N,L,VH,L,VL,L,N,H,
,,,Search system,,,,,,H,L,N,L,N,N,N,N,N,L,VH,L,VL,L,N,H,
,,,Tracking system,,,,,,N,L,N,L,N,N,N,N,N,L,VH,L,VL,L,N,H,
,,,Review and rating system,,,,,,L,N,N,L,N,N,N,N,N,L,VH,L,VL,L,N,H,
12,Spring 2015,lcp_asbuilt_s15b_t12_v4.0,Web,N,N,H,H,N,,,,,,,,,,,,,,,,,
,,,search module,,,,,,N,H,N,L,N,N,N,H,H,H,VH,N,N,N,N,VH,N
,,,share module,,,,,,H,VH,N,L,N,N,N,H,H,H,VH,N,N,N,N,VH,N
,,,networking module,,,,,,N,H,H,L,N,N,N,H,H,H,VH,N,N,N,N,VH,N
5,Fall 2014,f14a_snapp_voice_communication_system,Web,N,N,H,H,N,,,,,,,,,,,,,,,,,
,,,Call listening,,,,,,N,L,N,N,N,N,N,L,N,H,H,L,N,VL,N,H,
,,,Call logger,,,,,,VH,VH,N,N,N,N,VH,L,N,H,H,L,N,VL,N,H,
,,,Call recording,,,,,,H,N,N,N,N,N,N,L,N,H,H,L,N,VL,N,H,
,,,Call handling module,,,,,,N,N,H,N,N,N,N,L,N,H,H,L,N,VL,N,H,
,,,Dialer,,,,,,H,L,N,N,N,N,N,L,N,H,H,L,VL,VL,N,H,
6,Fall 2014,f14a_black_professionals_net,Web,H,H,H,VH,N,,,,,,,,,,,,,,,,,
,,,Module 1,,,,,,H,H,N,L,N,N,H,L,H,L,L,H,L,L,N,VH,
,,,Module 2,,,,,,L,H,N,L,N,N,N,L,H,L,L,H,L,L,N,VH,
,,,Module 3,,,,,,L,N,H,L,H,N,N,L,H,L,L,H,L,L,N,VH,
,,,Module 4,,,,,,L,N,N,L,N,N,N,L,H,L,L,H,L,L,N,VH,
,,,Module 5,,,,,,H,H,N,L,N,N,N,L,H,L,L,H,L,L,N,VH,
,,,Module 6,,,,,,L,L,N,L,N,N,N,L,H,L,L,H,L,L,N,VH,
,,,Module 7,,,,,,L,L,N,L,N,N,N,L,H,L,L,H,L,L,N,VH,
10,Fall 2014,f14a_REFERsy,Web,H,VH,H,VH,N,,,,,,,,,,,,,,,,,
,,,API Controller module,,,,,,N,VH,N,L,L,XH,N,H,H,VH,H,H,L,VH,VH,VH,N
,,,Result processing module,,,,,,N,H,N,L,N,VH,N,L,H,VH,H,H,L,VH,VH,VH,N
,,,User authentication module,,,,,,N,L,N,L,N,N,N,L,H,VH,H,H,L,VH,VH,VH,N
11,Fall 2014,f14a_sharethetraining_com,Java,H,H,N,H,N,,,,,,,,,,,,,,,,,
,,,Course management,,,,,,N,L,L,N,N,N,H,N,N,L,VH,L,N,N,N,H,N
,,,User management,,,,,,N,L,L,N,L,N,H,N,N,L,VH,L,N,N,N,H,N
,,,Review management,,,,,,N,L,L,N,N,N,H,N,N,L,VH,L,N,N,N,H,N
,,,Order management,,,,,,N,L,L,N,N,N,H,N,N,L,VH,L,N,N,N,H,N
7,Spring 2015,s15b_mission_science_irobots,C# .NET,N,VH,N,H,N,,,,,,,,,,,,,,,,,
,,,GUI module,,,,,,N,L,N,L,N,H,N,L,N,H,H,H,H,N,H,VH,N
,,,Translator module,,,,,,N,L,L,L,H,N,N,L,N,L,H,L,N,N,L,VH,N
