id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,viewing document error message,boundary,0,2,Secure File Management View Process,Secure File Management View Process,
2,load documents,control,2,1,Secure File Management View Process,Secure File Management View Process,
3,document,entity,0,2,Secure File Management View Process,Secure File Management View Process,
4,login,entity,0,1,Secure File Management View Process,Secure File Management View Process,
5,document detail page,boundary,0,2,Secure File Management View Process,Secure File Management View Process,
6,Display error message,control,1,1,Secure File Management View Process,Secure File Management View Process,
7,query document,control,3,1,Secure File Management View Process,Secure File Management View Process,
8,document view page,boundary,1,2,Secure File Management View Process,Secure File Management View Process,
9,validate login information,control,2,1,Secure File Management View Process,Secure File Management View Process,
10,document view button,boundary,1,1,Secure File Management View Process,Secure File Management View Process,
11,User,actor,4,0,Secure File Management View Process,Secure File Management View Process,
