"","mmre","rank1","pred25","rank2","mdmre","rank3","mae","rank4","rank*"
"LOG_SLOC",0.81,1,0.04,4,0.74,2,3.72,1,1
"COSMIC",1.43,4,0.15,1,0.74,1,6.53,4,2
"SWTIII",0.95,2,0.04,3,0.78,3,4.32,2,2
"IFPUG",1.38,3,0.11,2,0.92,4,6.31,3,4
"SLOC",1.77,5,0.02,5,1.41,6,8.11,5,5
"UCP",2.63,6,0,6,1.17,5,12.07,6,6
