"","model_labels","model_texts","model_estimator","R2","f_test","Rank"
"2","fp","IFPUG","LSR",0.56,0.01,1
"5","tm1","SWTIII","LSR",0.47,0.02,2
"1","cosmic","COSMIC","LSR",0.32,0.2,3
"4","sloc","SLOC","LSR",0.2,0.45,4
"3","ln_sloc","LOG_SLOC","LSR",0.11,0.49,5
"6","ucp","UCP","LSR",0,1,6
