id, function, functional, DET, FTR, boundaries, controls, entities, typeStr
1,Weight loser:add charity successfully message-->add charity successfully message:Invoke the inviite sponsor use case-->Invoke the inviite sponsor use case:error message in adding charity and sponsor,EQ,0,3,3,0,0,boundary->boundary->boundary
2,Weight loser:add charity successfully message-->add charity successfully message:Invoke the inviite sponsor use case-->Invoke the inviite sponsor use case:The weight loser add one sponsor successfully message-->The weight loser add one sponsor successfully message:create the goal-->create the goal:goal info,EQ,1,5,5,0,0,boundary->boundary->boundary->boundary->boundary
3,Weight loser:add charity successfully message-->add charity successfully message:Invoke the inviite sponsor use case-->Invoke the inviite sponsor use case:The weight loser add one sponsor successfully message-->The weight loser add one sponsor successfully message:create the goal-->create the goal:create goal confirmation message,EQ,1,5,5,0,0,boundary->boundary->boundary->boundary->boundary
4,Weight loser:create goal page-->create goal page:invoke add charity use case-->invoke add charity use case:invalid information about added weights,EQ,1,3,3,0,0,boundary->boundary->boundary
5,Weight loser:create goal page-->create goal page:invoke add charity use case-->invoke add charity use case:error message in adding charity and sponsor,EQ,1,3,3,0,0,boundary->boundary->boundary
6,Weight loser:create goal page-->create goal page:invoke add charity use case-->invoke add charity use case:add charity successfully message-->add charity successfully message:Invoke the inviite sponsor use case-->Invoke the inviite sponsor use case:error message in adding charity and sponsor,EQ,2,5,5,0,0,boundary->boundary->boundary->boundary->boundary
7,Weight loser:create goal page-->create goal page:invoke add charity use case-->invoke add charity use case:add charity successfully message-->add charity successfully message:Invoke the inviite sponsor use case-->Invoke the inviite sponsor use case:The weight loser add one sponsor successfully message-->The weight loser add one sponsor successfully message:create the goal-->create the goal:goal info,EQ,3,7,7,0,0,boundary->boundary->boundary->boundary->boundary->boundary->boundary
8,Weight loser:create goal page-->create goal page:invoke add charity use case-->invoke add charity use case:add charity successfully message-->add charity successfully message:Invoke the inviite sponsor use case-->Invoke the inviite sponsor use case:The weight loser add one sponsor successfully message-->The weight loser add one sponsor successfully message:create the goal-->create the goal:create goal confirmation message,EQ,3,7,7,0,0,boundary->boundary->boundary->boundary->boundary->boundary->boundary
9,Weight loser:create goal confirmation message,EQ,0,1,1,0,0,boundary
10,Weight loser:error message in adding charity and sponsor,EQ,0,1,1,0,0,boundary
11,Weight loser:create goal link on homepage-->create goal link on homepage:redirect the user to creat goal page-->redirect the user to creat goal page:goal info,EQ,1,3,2,1,0,boundary->control->boundary
12,Weight loser:create goal link on homepage-->create goal link on homepage:redirect the user to creat goal page-->redirect the user to creat goal page:create goal page-->create goal page:invoke add charity use case-->invoke add charity use case:invalid information about added weights,EQ,0,5,3,2,0,boundary->control->control->boundary->boundary
13,Weight loser:create goal link on homepage-->create goal link on homepage:redirect the user to creat goal page-->redirect the user to creat goal page:create goal page-->create goal page:invoke add charity use case-->invoke add charity use case:error message in adding charity and sponsor,EQ,0,5,3,2,0,boundary->control->control->boundary->boundary
14,Weight loser:create goal link on homepage-->create goal link on homepage:redirect the user to creat goal page-->redirect the user to creat goal page:create goal page-->create goal page:invoke add charity use case-->invoke add charity use case:add charity successfully message-->add charity successfully message:Invoke the inviite sponsor use case-->Invoke the inviite sponsor use case:error message in adding charity and sponsor,EQ,1,7,5,2,0,boundary->control->control->boundary->boundary->boundary->boundary
15,Weight loser:create goal link on homepage-->create goal link on homepage:redirect the user to creat goal page-->redirect the user to creat goal page:create goal page-->create goal page:invoke add charity use case-->invoke add charity use case:add charity successfully message-->add charity successfully message:Invoke the inviite sponsor use case-->Invoke the inviite sponsor use case:The weight loser add one sponsor successfully message-->The weight loser add one sponsor successfully message:create the goal-->create the goal:goal info,EQ,2,9,7,2,0,boundary->control->control->boundary->boundary->boundary->boundary->boundary->boundary
16,Weight loser:create goal link on homepage-->create goal link on homepage:redirect the user to creat goal page-->redirect the user to creat goal page:create goal page-->create goal page:invoke add charity use case-->invoke add charity use case:add charity successfully message-->add charity successfully message:Invoke the inviite sponsor use case-->Invoke the inviite sponsor use case:The weight loser add one sponsor successfully message-->The weight loser add one sponsor successfully message:create the goal-->create the goal:create goal confirmation message,EQ,2,9,7,2,0,boundary->control->control->boundary->boundary->boundary->boundary->boundary->boundary
17,Weight loser:The weight loser add one sponsor successfully message-->The weight loser add one sponsor successfully message:create the goal-->create the goal:goal info,EQ,1,3,3,0,0,boundary->boundary->boundary
18,Weight loser:The weight loser add one sponsor successfully message-->The weight loser add one sponsor successfully message:create the goal-->create the goal:create goal confirmation message,EQ,1,3,3,0,0,boundary->boundary->boundary
19,Weight loser:invalid information about added weights,EQ,0,1,1,0,0,boundary
20,The weight loser:detaul message sent ot the email-->detaul message sent ot the email:system generates the invitation links-->system generates the invitation links:facebook,EQ,1,3,2,0,1,boundary->entity->boundary
21,The weight loser:detaul message sent ot the email-->detaul message sent ot the email:system generates the invitation links-->system generates the invitation links:temporarily selected sponsors list,EI,0,3,1,0,2,boundary->entity->entity
22,The weight loser:detaul message sent ot the email-->detaul message sent ot the email:system generates the invitation links-->system generates the invitation links:send emails-->send emails:email prototocol,EQ,1,4,1,0,3,boundary->entity->actor->actor
23,The weight loser:detaul message sent ot the email-->detaul message sent ot the email:system generates the invitation links-->system generates the invitation links:send emails-->send emails:transaction,EQ,2,4,1,0,3,boundary->entity->actor->entity
24,The weight loser:detaul message sent ot the email-->detaul message sent ot the email:system generates the invitation links-->system generates the invitation links:send emails-->send emails:show confirmation message-->show confirmation message:sponsors,EQ,1,5,3,0,2,boundary->entity->actor->boundary->boundary
25,The weight loser:detaul message sent ot the email-->detaul message sent ot the email:system generates the invitation links-->system generates the invitation links:send emails-->send emails:show confirmation message-->show confirmation message:confirmation message,EQ,1,5,3,0,2,boundary->entity->actor->boundary->boundary
26,The weight loser:detaul message sent ot the email-->detaul message sent ot the email:system generates the invitation links-->system generates the invitation links:send emails-->send emails:Invalid transaction message,EQ,1,4,1,0,3,boundary->entity->actor->entity
27,The weight loser:detaul message sent ot the email-->detaul message sent ot the email:system generates the invitation links-->system generates the invitation links:error in access facebook information,EQ,0,3,2,0,1,boundary->entity->boundary
28,The weight loser:invite sponsor link-->invite sponsor link:redirect the user to invite sponsor page-->redirect the user to invite sponsor page:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:temporarily selected sponsors list,EQ,2,5,3,1,1,boundary->control->boundary->boundary->entity
29,The weight loser:invite sponsor link-->invite sponsor link:redirect the user to invite sponsor page-->redirect the user to invite sponsor page:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:error message for invlid email id,EQ,2,5,4,1,0,boundary->control->boundary->boundary->boundary
30,The weight loser:invite sponsor link-->invite sponsor link:redirect the user to invite sponsor page-->redirect the user to invite sponsor page:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:detaul message sent ot the email-->detaul message sent ot the email:system generates the invitation links-->system generates the invitation links:facebook,EQ,3,7,5,1,1,boundary->control->boundary->boundary->boundary->entity->boundary
31,The weight loser:invite sponsor link-->invite sponsor link:redirect the user to invite sponsor page-->redirect the user to invite sponsor page:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:detaul message sent ot the email-->detaul message sent ot the email:system generates the invitation links-->system generates the invitation links:temporarily selected sponsors list,EQ,2,7,4,1,2,boundary->control->boundary->boundary->boundary->entity->entity
32,The weight loser:invite sponsor link-->invite sponsor link:redirect the user to invite sponsor page-->redirect the user to invite sponsor page:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:detaul message sent ot the email-->detaul message sent ot the email:system generates the invitation links-->system generates the invitation links:send emails-->send emails:email prototocol,EQ,3,8,4,1,3,boundary->control->boundary->boundary->boundary->entity->actor->actor
33,The weight loser:invite sponsor link-->invite sponsor link:redirect the user to invite sponsor page-->redirect the user to invite sponsor page:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:detaul message sent ot the email-->detaul message sent ot the email:system generates the invitation links-->system generates the invitation links:send emails-->send emails:transaction,EQ,4,8,4,1,3,boundary->control->boundary->boundary->boundary->entity->actor->entity
34,The weight loser:invite sponsor link-->invite sponsor link:redirect the user to invite sponsor page-->redirect the user to invite sponsor page:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:detaul message sent ot the email-->detaul message sent ot the email:system generates the invitation links-->system generates the invitation links:send emails-->send emails:show confirmation message-->show confirmation message:sponsors,EQ,3,9,6,1,2,boundary->control->boundary->boundary->boundary->entity->actor->boundary->boundary
35,The weight loser:invite sponsor link-->invite sponsor link:redirect the user to invite sponsor page-->redirect the user to invite sponsor page:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:detaul message sent ot the email-->detaul message sent ot the email:system generates the invitation links-->system generates the invitation links:send emails-->send emails:show confirmation message-->show confirmation message:confirmation message,EQ,3,9,6,1,2,boundary->control->boundary->boundary->boundary->entity->actor->boundary->boundary
36,The weight loser:invite sponsor link-->invite sponsor link:redirect the user to invite sponsor page-->redirect the user to invite sponsor page:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:detaul message sent ot the email-->detaul message sent ot the email:system generates the invitation links-->system generates the invitation links:send emails-->send emails:Invalid transaction message,EQ,3,8,4,1,3,boundary->control->boundary->boundary->boundary->entity->actor->entity
37,The weight loser:invite sponsor link-->invite sponsor link:redirect the user to invite sponsor page-->redirect the user to invite sponsor page:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:detaul message sent ot the email-->detaul message sent ot the email:system generates the invitation links-->system generates the invitation links:error in access facebook information,EQ,2,7,5,1,1,boundary->control->boundary->boundary->boundary->entity->boundary
38,The weight loser:invite sponsor link-->invite sponsor link:redirect the user to invite sponsor page-->redirect the user to invite sponsor page:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:update the transaction status "completed"-->update the transaction status "completed":transaction,EQ,2,6,3,1,2,boundary->control->boundary->boundary->entity->entity
39,The weight loser:invite sponsor link-->invite sponsor link:redirect the user to invite sponsor page-->redirect the user to invite sponsor page:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:update the transaction status "completed"-->update the transaction status "completed":system generates the invitation links-->system generates the invitation links:facebook,EQ,3,7,4,1,2,boundary->control->boundary->boundary->entity->entity->boundary
40,The weight loser:invite sponsor link-->invite sponsor link:redirect the user to invite sponsor page-->redirect the user to invite sponsor page:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:update the transaction status "completed"-->update the transaction status "completed":system generates the invitation links-->system generates the invitation links:temporarily selected sponsors list,EQ,2,7,3,1,3,boundary->control->boundary->boundary->entity->entity->entity
41,The weight loser:invite sponsor link-->invite sponsor link:redirect the user to invite sponsor page-->redirect the user to invite sponsor page:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:update the transaction status "completed"-->update the transaction status "completed":system generates the invitation links-->system generates the invitation links:send emails-->send emails:email prototocol,EQ,3,8,3,1,4,boundary->control->boundary->boundary->entity->entity->actor->actor
42,The weight loser:invite sponsor link-->invite sponsor link:redirect the user to invite sponsor page-->redirect the user to invite sponsor page:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:update the transaction status "completed"-->update the transaction status "completed":system generates the invitation links-->system generates the invitation links:send emails-->send emails:transaction,EQ,4,8,3,1,4,boundary->control->boundary->boundary->entity->entity->actor->entity
43,The weight loser:invite sponsor link-->invite sponsor link:redirect the user to invite sponsor page-->redirect the user to invite sponsor page:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:update the transaction status "completed"-->update the transaction status "completed":system generates the invitation links-->system generates the invitation links:send emails-->send emails:show confirmation message-->show confirmation message:sponsors,EQ,3,9,5,1,3,boundary->control->boundary->boundary->entity->entity->actor->boundary->boundary
44,The weight loser:invite sponsor link-->invite sponsor link:redirect the user to invite sponsor page-->redirect the user to invite sponsor page:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:update the transaction status "completed"-->update the transaction status "completed":system generates the invitation links-->system generates the invitation links:send emails-->send emails:show confirmation message-->show confirmation message:confirmation message,EQ,3,9,5,1,3,boundary->control->boundary->boundary->entity->entity->actor->boundary->boundary
45,The weight loser:invite sponsor link-->invite sponsor link:redirect the user to invite sponsor page-->redirect the user to invite sponsor page:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:update the transaction status "completed"-->update the transaction status "completed":system generates the invitation links-->system generates the invitation links:send emails-->send emails:Invalid transaction message,EQ,3,8,3,1,4,boundary->control->boundary->boundary->entity->entity->actor->entity
46,The weight loser:invite sponsor link-->invite sponsor link:redirect the user to invite sponsor page-->redirect the user to invite sponsor page:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:update the transaction status "completed"-->update the transaction status "completed":system generates the invitation links-->system generates the invitation links:error in access facebook information,EQ,2,7,4,1,2,boundary->control->boundary->boundary->entity->entity->boundary
47,The weight loser:Invalid transaction message,EQ,0,1,0,0,1,entity
48,The weight loser:error message for invlid email id,EQ,0,1,1,0,0,boundary
49,The weight loser:error in access facebook information,EQ,0,1,1,0,0,boundary
50,The weight loser:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:temporarily selected sponsors list,EI,0,3,2,0,1,boundary->boundary->entity
51,The weight loser:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:error message for invlid email id,EQ,0,3,3,0,0,boundary->boundary->boundary
52,The weight loser:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:detaul message sent ot the email-->detaul message sent ot the email:system generates the invitation links-->system generates the invitation links:facebook,EQ,1,5,4,0,1,boundary->boundary->boundary->entity->boundary
53,The weight loser:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:detaul message sent ot the email-->detaul message sent ot the email:system generates the invitation links-->system generates the invitation links:temporarily selected sponsors list,EI,0,5,3,0,2,boundary->boundary->boundary->entity->entity
54,The weight loser:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:detaul message sent ot the email-->detaul message sent ot the email:system generates the invitation links-->system generates the invitation links:send emails-->send emails:email prototocol,EQ,1,6,3,0,3,boundary->boundary->boundary->entity->actor->actor
55,The weight loser:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:detaul message sent ot the email-->detaul message sent ot the email:system generates the invitation links-->system generates the invitation links:send emails-->send emails:transaction,EQ,2,6,3,0,3,boundary->boundary->boundary->entity->actor->entity
56,The weight loser:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:detaul message sent ot the email-->detaul message sent ot the email:system generates the invitation links-->system generates the invitation links:send emails-->send emails:show confirmation message-->show confirmation message:sponsors,EQ,1,7,5,0,2,boundary->boundary->boundary->entity->actor->boundary->boundary
57,The weight loser:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:detaul message sent ot the email-->detaul message sent ot the email:system generates the invitation links-->system generates the invitation links:send emails-->send emails:show confirmation message-->show confirmation message:confirmation message,EQ,1,7,5,0,2,boundary->boundary->boundary->entity->actor->boundary->boundary
58,The weight loser:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:detaul message sent ot the email-->detaul message sent ot the email:system generates the invitation links-->system generates the invitation links:send emails-->send emails:Invalid transaction message,EQ,1,6,3,0,3,boundary->boundary->boundary->entity->actor->entity
59,The weight loser:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:detaul message sent ot the email-->detaul message sent ot the email:system generates the invitation links-->system generates the invitation links:error in access facebook information,EQ,0,5,4,0,1,boundary->boundary->boundary->entity->boundary
60,The weight loser:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:update the transaction status "completed"-->update the transaction status "completed":transaction,EI,0,4,2,0,2,boundary->boundary->entity->entity
61,The weight loser:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:update the transaction status "completed"-->update the transaction status "completed":system generates the invitation links-->system generates the invitation links:facebook,EQ,1,5,3,0,2,boundary->boundary->entity->entity->boundary
62,The weight loser:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:update the transaction status "completed"-->update the transaction status "completed":system generates the invitation links-->system generates the invitation links:temporarily selected sponsors list,EI,0,5,2,0,3,boundary->boundary->entity->entity->entity
63,The weight loser:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:update the transaction status "completed"-->update the transaction status "completed":system generates the invitation links-->system generates the invitation links:send emails-->send emails:email prototocol,EQ,1,6,2,0,4,boundary->boundary->entity->entity->actor->actor
64,The weight loser:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:update the transaction status "completed"-->update the transaction status "completed":system generates the invitation links-->system generates the invitation links:send emails-->send emails:transaction,EQ,2,6,2,0,4,boundary->boundary->entity->entity->actor->entity
65,The weight loser:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:update the transaction status "completed"-->update the transaction status "completed":system generates the invitation links-->system generates the invitation links:send emails-->send emails:show confirmation message-->show confirmation message:sponsors,EQ,1,7,4,0,3,boundary->boundary->entity->entity->actor->boundary->boundary
66,The weight loser:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:update the transaction status "completed"-->update the transaction status "completed":system generates the invitation links-->system generates the invitation links:send emails-->send emails:show confirmation message-->show confirmation message:confirmation message,EQ,1,7,4,0,3,boundary->boundary->entity->entity->actor->boundary->boundary
67,The weight loser:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:update the transaction status "completed"-->update the transaction status "completed":system generates the invitation links-->system generates the invitation links:send emails-->send emails:Invalid transaction message,EQ,1,6,2,0,4,boundary->boundary->entity->entity->actor->entity
68,The weight loser:invite sponsor page-->invite sponsor page:add sponsor to temparily selected sponsors list-->add sponsor to temparily selected sponsors list:update the transaction status "completed"-->update the transaction status "completed":system generates the invitation links-->system generates the invitation links:error in access facebook information,EQ,0,5,3,0,2,boundary->boundary->entity->entity->boundary
