id,path,functional,transactional,path_length, boundry_num, control_num, entity_num, actor_num, diagram,useCase
1,User->like post button->save the like status->Like information,EI,CTRL|DM|EI,4,undefined,1,1,1,Like a thread or a post,Like a thread or a post
2,User->like post button->save the like status->update like number of thread->thread,EI,CTRL|DM|EI,5,undefined,2,1,1,Like a thread or a post,Like a thread or a post
3,User->like post button->save the like status->update like number of thread->calculate points of the owner->post is liked message,EQ,CTRL|INT,6,undefined,3,0,1,Like a thread or a post,Like a thread or a post
4,User->like post button->save the like status->update like number of thread->calculate points of the owner->thread is liked message,EQ,CTRL|INT,6,undefined,3,0,1,Like a thread or a post,Like a thread or a post
5,User->like post button->save the like status->update like number of thread->calculate points of the owner->point,EI,CTRL|DM|EI,6,undefined,3,1,1,Like a thread or a post,Like a thread or a post
6,User->like post button->save the like status->update like number of thread->grayed out thread like button,EQ,CTRL|INT,5,undefined,2,0,1,Like a thread or a post,Like a thread or a post
7,User->like post button->save the like status->update like number of the post->grayed out post like button,EQ,CTRL|INT,5,undefined,2,0,1,Like a thread or a post,Like a thread or a post
8,User->like post button->save the like status->update like number of the post->calculate points of the owner->post is liked message,EQ,CTRL|INT,6,undefined,3,0,1,Like a thread or a post,Like a thread or a post
9,User->like post button->save the like status->update like number of the post->calculate points of the owner->thread is liked message,EQ,CTRL|INT,6,undefined,3,0,1,Like a thread or a post,Like a thread or a post
10,User->like post button->save the like status->update like number of the post->calculate points of the owner->point,EI,CTRL|DM|EI,6,undefined,3,1,1,Like a thread or a post,Like a thread or a post
11,User->like post button->save the like status->update like number of the post->post,EI,CTRL|DM|EI,5,undefined,2,1,1,Like a thread or a post,Like a thread or a post
12,User->like thread button->save the like status->Like information,EI,CTRL|DM|EI,4,undefined,1,1,1,Like a thread or a post,Like a thread or a post
13,User->like thread button->save the like status->update like number of thread->thread,EI,CTRL|DM|EI,5,undefined,2,1,1,Like a thread or a post,Like a thread or a post
14,User->like thread button->save the like status->update like number of thread->calculate points of the owner->post is liked message,EQ,CTRL|INT,6,undefined,3,0,1,Like a thread or a post,Like a thread or a post
15,User->like thread button->save the like status->update like number of thread->calculate points of the owner->thread is liked message,EQ,CTRL|INT,6,undefined,3,0,1,Like a thread or a post,Like a thread or a post
16,User->like thread button->save the like status->update like number of thread->calculate points of the owner->point,EI,CTRL|DM|EI,6,undefined,3,1,1,Like a thread or a post,Like a thread or a post
17,User->like thread button->save the like status->update like number of thread->grayed out thread like button,EQ,CTRL|INT,5,undefined,2,0,1,Like a thread or a post,Like a thread or a post
18,User->like thread button->save the like status->update like number of the post->grayed out post like button,EQ,CTRL|INT,5,undefined,2,0,1,Like a thread or a post,Like a thread or a post
19,User->like thread button->save the like status->update like number of the post->calculate points of the owner->post is liked message,EQ,CTRL|INT,6,undefined,3,0,1,Like a thread or a post,Like a thread or a post
20,User->like thread button->save the like status->update like number of the post->calculate points of the owner->thread is liked message,EQ,CTRL|INT,6,undefined,3,0,1,Like a thread or a post,Like a thread or a post
21,User->like thread button->save the like status->update like number of the post->calculate points of the owner->point,EI,CTRL|DM|EI,6,undefined,3,1,1,Like a thread or a post,Like a thread or a post
22,User->like thread button->save the like status->update like number of the post->post,EI,CTRL|DM|EI,5,undefined,2,1,1,Like a thread or a post,Like a thread or a post
