id,element,useCase,type,component
1,User:Login page,Share course,boundary,Homepage
2,User:Course list,Share course,entity,Course
3,User:Share menu,Share course,boundary,receivepaymentresult
4,User:course list button,Share course,entity,Course
5,Course list:Open course share menu,Share course,entity,Course
6,load course list:Course list,Share course,entity,Course
7,Redirect to login page:Login page,Share course,boundary,Homepage
8,send course information to users:Notification,Share course,boundary,Invalidenteredinformation
9,Open course share menu:Share menu,Share course,boundary,receivepaymentresult
10,Share menu:Redirect to login page,Share course,boundary,Homepage
11,Share menu:send course information to users,Share course,boundary,Invalidenteredinformation
12,course list button:load course list,Share course,entity,Course
13,load course list:user,Share course,entity,Course
14,stl#User:Login page,Share course,Stimulus,undefined
15,stl#User:Course list,Share course,Stimulus,undefined
16,stl#User:Share menu,Share course,Stimulus,undefined
17,stl#User:course list button,Share course,Stimulus,undefined
