$Cut_1$,0.92,0.14,2029.59,0.84,3
$Cut_2$,1.02,0.13,1641.82,0.87,2
$Cut_3$,0.81,0.17,1629.90,0.72,1
$Cut_4$,0.87,0.13,1883.02,0.87,3
$Cut_5$,0.99,0.07,1624.94,0.89,5
$Cut_6$,0.97,0.06,1845.02,0.96,6

