"","model1","model2","metric","direction","model1_mean","model2_mean","p_value","BH_p_value","bonferroni_p_value","cohen_d","index"
"29","tm1","tm2","pred25","+",0.08,0.04,0,0,0.01,0.52,"tm1-tm2-pred25"
"30","tm1","tm3","pred25","=",0.08,0.08,0,0,0.01,0,"tm1-tm3-pred25"
"31","tm1","ucp","pred25","+",0.08,0,0,0,0.01,1.06,"tm1-ucp-pred25"
"32","tm1","fp","pred25","+",0.08,0.06,0,0,0.01,0.24,"tm1-fp-pred25"
"33","tm1","cosmic","pred25","+",0.08,0.08,0,0,0.01,0.06,"tm1-cosmic-pred25"
"34","tm1","sloc","pred25","+",0.08,0.03,0,0,0.01,0.68,"tm1-sloc-pred25"
"35","tm1","ln_sloc","pred25","+",0.08,0.08,0,0,0.01,0.09,"tm1-ln_sloc-pred25"
"36","tm2","tm3","pred25","-",0.04,0.08,0,0,0.01,-0.52,"tm2-tm3-pred25"
"37","tm2","ucp","pred25","+",0.04,0,0,0,0.01,0.65,"tm2-ucp-pred25"
"38","tm2","fp","pred25","-",0.04,0.06,0,0,0.01,-0.25,"tm2-fp-pred25"
"39","tm2","cosmic","pred25","-",0.04,0.08,0,0,0.01,-0.46,"tm2-cosmic-pred25"
"40","tm2","sloc","pred25","+",0.04,0.03,0,0,0.01,0.18,"tm2-sloc-pred25"
"41","tm2","ln_sloc","pred25","-",0.04,0.08,0,0,0.01,-0.46,"tm2-ln_sloc-pred25"
"42","tm3","ucp","pred25","+",0.08,0,0,0,0.01,1.06,"tm3-ucp-pred25"
"43","tm3","fp","pred25","+",0.08,0.06,0,0,0.01,0.24,"tm3-fp-pred25"
"44","tm3","cosmic","pred25","+",0.08,0.08,0,0,0.01,0.06,"tm3-cosmic-pred25"
"45","tm3","sloc","pred25","+",0.08,0.03,0,0,0.01,0.68,"tm3-sloc-pred25"
"46","tm3","ln_sloc","pred25","+",0.08,0.08,0,0,0.01,0.09,"tm3-ln_sloc-pred25"
"13","tm2","ln_sloc","mmre","+",0.91,0.93,0,0.01,0.21,-0.09,"tm2-ln_sloc-mmre"
"97","tm2","ln_sloc","mae","+",3.17,3.27,0,0.01,0.21,-0.09,"tm2-ln_sloc-mae"
"66","tm2","fp","mdmre","+",0.78,0.99,0,0.01,0.34,-0.56,"tm2-fp-mdmre"
"69","tm2","ln_sloc","mdmre","+",0.78,0.82,0,0.01,0.38,-0.17,"tm2-ln_sloc-mdmre"
"60","tm1","fp","mdmre","+",0.71,0.99,0,0.01,0.5,-0.76,"tm1-fp-mdmre"
"71","tm3","fp","mdmre","+",0.71,0.99,0,0.01,0.5,-0.76,"tm3-fp-mdmre"
"58","tm1","tm3","mdmre","+",0.71,0.71,0.01,0.01,0.65,0,"tm1-tm3-mdmre"
"10","tm2","fp","mmre","+",0.91,1.39,0.01,0.01,0.67,-1.11,"tm2-fp-mmre"
"94","tm2","fp","mae","+",3.17,4.87,0.01,0.01,0.67,-1.11,"tm2-fp-mae"
"63","tm1","ln_sloc","mdmre","+",0.71,0.82,0.01,0.01,0.71,-0.46,"tm1-ln_sloc-mdmre"
"74","tm3","ln_sloc","mdmre","+",0.71,0.82,0.01,0.01,0.71,-0.46,"tm3-ln_sloc-mdmre"
"57","tm1","tm2","mdmre","+",0.71,0.78,0.01,0.01,0.73,-0.4,"tm1-tm2-mdmre"
"64","tm2","tm3","mdmre","-",0.78,0.71,0.01,0.01,0.74,0.4,"tm2-tm3-mdmre"
"7","tm1","ln_sloc","mmre","+",0.77,0.93,0.01,0.01,0.76,-0.58,"tm1-ln_sloc-mmre"
"18","tm3","ln_sloc","mmre","+",0.77,0.93,0.01,0.01,0.76,-0.58,"tm3-ln_sloc-mmre"
"91","tm1","ln_sloc","mae","+",2.69,3.27,0.01,0.01,0.76,-0.58,"tm1-ln_sloc-mae"
"102","tm3","ln_sloc","mae","+",2.69,3.27,0.01,0.01,0.76,-0.58,"tm3-ln_sloc-mae"
"4","tm1","fp","mmre","+",0.77,1.39,0.01,0.01,0.94,-1.46,"tm1-fp-mmre"
"88","tm1","fp","mae","+",2.69,4.87,0.01,0.01,0.94,-1.46,"tm1-fp-mae"
"15","tm3","fp","mmre","+",0.77,1.39,0.01,0.01,0.95,-1.46,"tm3-fp-mmre"
"99","tm3","fp","mae","+",2.69,4.87,0.01,0.01,0.95,-1.46,"tm3-fp-mae"
"2","tm1","tm3","mmre","+",0.77,0.77,0.01,0.01,0.97,0,"tm1-tm3-mmre"
"86","tm1","tm3","mae","+",2.69,2.69,0.01,0.01,0.97,0,"tm1-tm3-mae"
"1","tm1","tm2","mmre","+",0.77,0.91,0.01,0.01,1,-0.49,"tm1-tm2-mmre"
"5","tm1","cosmic","mmre","+",0.77,2.11,0.01,0.01,1,-1.65,"tm1-cosmic-mmre"
"6","tm1","sloc","mmre","+",0.77,1.92,0.01,0.01,1,-1.86,"tm1-sloc-mmre"
"8","tm2","tm3","mmre","-",0.91,0.77,0.01,0.01,1,0.49,"tm2-tm3-mmre"
"9","tm2","ucp","mmre","+",0.91,3.07,0.01,0.01,1,-1.83,"tm2-ucp-mmre"
"11","tm2","cosmic","mmre","+",0.91,2.11,0.01,0.01,1,-1.47,"tm2-cosmic-mmre"
"12","tm2","sloc","mmre","+",0.91,1.92,0.01,0.01,1,-1.62,"tm2-sloc-mmre"
"16","tm3","cosmic","mmre","+",0.77,2.11,0.01,0.01,1,-1.65,"tm3-cosmic-mmre"
"17","tm3","sloc","mmre","+",0.77,1.92,0.01,0.01,1,-1.86,"tm3-sloc-mmre"
"59","tm1","ucp","mdmre","+",0.71,1.55,0.01,0.01,1,-1.06,"tm1-ucp-mdmre"
"61","tm1","cosmic","mdmre","+",0.71,1.27,0.01,0.01,1,-0.89,"tm1-cosmic-mdmre"
"62","tm1","sloc","mdmre","+",0.71,1.54,0.01,0.01,1,-1.28,"tm1-sloc-mdmre"
"65","tm2","ucp","mdmre","+",0.78,1.55,0.01,0.01,1,-0.97,"tm2-ucp-mdmre"
"67","tm2","cosmic","mdmre","+",0.78,1.27,0.01,0.01,1,-0.77,"tm2-cosmic-mdmre"
"68","tm2","sloc","mdmre","+",0.78,1.54,0.01,0.01,1,-1.17,"tm2-sloc-mdmre"
"70","tm3","ucp","mdmre","+",0.71,1.55,0.01,0.01,1,-1.06,"tm3-ucp-mdmre"
"72","tm3","cosmic","mdmre","+",0.71,1.27,0.01,0.01,1,-0.89,"tm3-cosmic-mdmre"
"73","tm3","sloc","mdmre","+",0.71,1.54,0.01,0.01,1,-1.28,"tm3-sloc-mdmre"
"85","tm1","tm2","mae","+",2.69,3.17,0.01,0.01,1,-0.49,"tm1-tm2-mae"
"89","tm1","cosmic","mae","+",2.69,7.4,0.01,0.01,1,-1.65,"tm1-cosmic-mae"
"90","tm1","sloc","mae","+",2.69,6.73,0.01,0.01,1,-1.86,"tm1-sloc-mae"
"92","tm2","tm3","mae","-",3.17,2.69,0.01,0.01,1,0.49,"tm2-tm3-mae"
"93","tm2","ucp","mae","+",3.17,10.74,0.01,0.01,1,-1.83,"tm2-ucp-mae"
"95","tm2","cosmic","mae","+",3.17,7.4,0.01,0.01,1,-1.47,"tm2-cosmic-mae"
"96","tm2","sloc","mae","+",3.17,6.73,0.01,0.01,1,-1.62,"tm2-sloc-mae"
"100","tm3","cosmic","mae","+",2.69,7.4,0.01,0.01,1,-1.65,"tm3-cosmic-mae"
"101","tm3","sloc","mae","+",2.69,6.73,0.01,0.01,1,-1.86,"tm3-sloc-mae"
