,model1,model2,metric,model1_mean,model2_mean,bonferroni_p_value,cohen_d
29,SWTII,SWTI,pred25,0.08,0.04,0.01,0.52
31,SWTII,UCP,pred25,0.08,0,0.01,1.06
32,SWTII,IFPUG,pred25,0.08,0.06,0.01,0.24
33,SWTII,COSMIC,pred25,0.08,0.08,0.01,0.06
34,SWTII,SLOC,pred25,0.08,0.03,0.01,0.68
35,SWTII,LOG_SLOC,pred25,0.08,0.08,0.01,0.09
36,SWTIII,SWTI,pred25,0.08,0.04,0.01,0.52
37,SWTI,UCP,pred25,0.04,0,0.01,0.65
38,IFPUG,SWTI,pred25,0.06,0.04,0.01,0.25
39,COSMIC,SWTI,pred25,0.08,0.04,0.01,0.46
40,SWTI,SLOC,pred25,0.04,0.03,0.01,0.18
41,LOG_SLOC,SWTI,pred25,0.08,0.04,0.01,0.46
42,SWTIII,UCP,pred25,0.08,0,0.01,1.06
43,SWTIII,IFPUG,pred25,0.08,0.06,0.01,0.24
44,SWTIII,COSMIC,pred25,0.08,0.08,0.01,0.06
45,SWTIII,SLOC,pred25,0.08,0.03,0.01,0.68
46,SWTIII,LOG_SLOC,pred25,0.08,0.08,0.01,0.09
47,IFPUG,UCP,pred25,0.06,0,0.01,0.75
48,COSMIC,UCP,pred25,0.08,0,0.01,1.02
49,SLOC,UCP,pred25,0.03,0,0.01,0.53
50,LOG_SLOC,UCP,pred25,0.08,0,0.01,1.06
51,COSMIC,IFPUG,pred25,0.08,0.06,0.01,0.18
52,IFPUG,SLOC,pred25,0.06,0.03,0.01,0.4
53,LOG_SLOC,IFPUG,pred25,0.08,0.06,0.01,0.16
54,COSMIC,SLOC,pred25,0.08,0.03,0.01,0.63
55,COSMIC,LOG_SLOC,pred25,0.08,0.08,0.01,0.03
56,LOG_SLOC,SLOC,pred25,0.08,0.03,0.01,0.64
