"","SWTI","SWTII","SWTIII","UUCP","AFP","COSMIC","SLOC","LOG_SLOC"
"SWTI",NA,0,NA,0.065,0.029,0.001,0.038,0.052
"SWTII",0,NA,0,0.065,0.004,0.002,0.01,0.018
"SWTIII",NA,0,NA,0.065,0.029,0.001,0.038,0.052
"UUCP",0.065,0.065,0.065,NA,0.033,0.241,0.001,0
"AFP",0.029,0.004,0.029,0.033,NA,0.01,0.003,0.001
"COSMIC",0.001,0.002,0.001,0.241,0.01,NA,0.007,0.007
"SLOC",0.038,0.01,0.038,0.001,0.003,0.007,NA,0
"LOG_SLOC",0.052,0.018,0.052,0,0.001,0.007,0,NA
