"","model1","model2","metric","direction","model1_mean","model2_mean","p_value","BH_p_value","bonferroni_p_value","cohen_d","index"
"29","SWTII","SWTI","pred25","+","0.08","0.04","0","0","0.01"," 0.52","SWTII-SWTI-pred25"
"30","SWTII","SWTIII","pred25","=","0.08","0.08","0","0","0.01"," 0.00","SWTII-SWTIII-pred25"
"31","SWTII","UCP","pred25","+","0.08","0.00","0","0","0.01"," 1.06","SWTII-UCP-pred25"
"32","SWTII","IFPUG","pred25","+","0.08","0.06","0","0","0.01"," 0.24","SWTII-IFPUG-pred25"
"33","SWTII","COSMIC","pred25","+","0.08","0.08","0","0","0.01"," 0.06","SWTII-COSMIC-pred25"
"34","SWTII","SLOC","pred25","+","0.08","0.03","0","0","0.01"," 0.68","SWTII-SLOC-pred25"
"35","SWTII","LOG_SLOC","pred25","+","0.08","0.08","0","0","0.01"," 0.09","SWTII-LOG_SLOC-pred25"
"36","SWTIII","SWTI","pred25","+","0.08","0.04","0","0","0.01","0.52","SWTIII-SWTI-pred25"
"37","SWTI","UCP","pred25","+","0.04","0.00","0","0","0.01"," 0.65","SWTI-UCP-pred25"
"38","IFPUG","SWTI","pred25","+","0.06","0.04","0","0","0.01","0.25","IFPUG-SWTI-pred25"
"39","COSMIC","SWTI","pred25","+","0.08","0.04","0","0","0.01","0.46","COSMIC-SWTI-pred25"
"40","SWTI","SLOC","pred25","+","0.04","0.03","0","0","0.01"," 0.18","SWTI-SLOC-pred25"
"41","LOG_SLOC","SWTI","pred25","+","0.08","0.04","0","0","0.01","0.46","LOG_SLOC-SWTI-pred25"
"42","SWTIII","UCP","pred25","+","0.08","0.00","0","0","0.01"," 1.06","SWTIII-UCP-pred25"
"43","SWTIII","IFPUG","pred25","+","0.08","0.06","0","0","0.01"," 0.24","SWTIII-IFPUG-pred25"
"44","SWTIII","COSMIC","pred25","+","0.08","0.08","0","0","0.01"," 0.06","SWTIII-COSMIC-pred25"
"45","SWTIII","SLOC","pred25","+","0.08","0.03","0","0","0.01"," 0.68","SWTIII-SLOC-pred25"
"46","SWTIII","LOG_SLOC","pred25","+","0.08","0.08","0","0","0.01"," 0.09","SWTIII-LOG_SLOC-pred25"
