"","model1","model2","metric","direction","model1_mean","model2_mean","p_value","BH_p_value","bonferroni_p_value","cohen_d"
"29","tm1","tm2","pred25","+",0.08,0.04,0,0,0.01,0.52
"30","tm1","tm3","pred25","=",0.08,0.08,0,0,0.01,0
"31","tm1","ucp","pred25","+",0.08,0,0,0,0.01,1.06
"32","tm1","fp","pred25","+",0.08,0.06,0,0,0.01,0.24
"33","tm1","cosmic","pred25","+",0.08,0.08,0,0,0.01,0.06
"34","tm1","sloc","pred25","+",0.08,0.03,0,0,0.01,0.68
"35","tm1","ln_sloc","pred25","+",0.08,0.08,0,0,0.01,0.09
"36","tm2","tm3","pred25","-",0.04,0.08,0,0,0.01,-0.52
"37","tm2","ucp","pred25","+",0.04,0,0,0,0.01,0.65
"38","tm2","fp","pred25","-",0.04,0.06,0,0,0.01,-0.25
"39","tm2","cosmic","pred25","-",0.04,0.08,0,0,0.01,-0.46
"40","tm2","sloc","pred25","+",0.04,0.03,0,0,0.01,0.18
"41","tm2","ln_sloc","pred25","-",0.04,0.08,0,0,0.01,-0.46
"42","tm3","ucp","pred25","+",0.08,0,0,0,0.01,1.06
"43","tm3","fp","pred25","+",0.08,0.06,0,0,0.01,0.24
"44","tm3","cosmic","pred25","+",0.08,0.08,0,0,0.01,0.06
"45","tm3","sloc","pred25","+",0.08,0.03,0,0,0.01,0.68
"46","tm3","ln_sloc","pred25","+",0.08,0.08,0,0,0.01,0.09
"47","ucp","fp","pred25","-",0,0.06,0,0,0.01,-0.75
"48","ucp","cosmic","pred25","-",0,0.08,0,0,0.01,-1.02
"49","ucp","sloc","pred25","-",0,0.03,0,0,0.01,-0.53
"50","ucp","ln_sloc","pred25","-",0,0.08,0,0,0.01,-1.06
"51","fp","cosmic","pred25","-",0.06,0.08,0,0,0.01,-0.18
"52","fp","sloc","pred25","+",0.06,0.03,0,0,0.01,0.4
"53","fp","ln_sloc","pred25","-",0.06,0.08,0,0,0.01,-0.16
"54","cosmic","sloc","pred25","+",0.08,0.03,0,0,0.01,0.63
"55","cosmic","ln_sloc","pred25","+",0.08,0.08,0,0,0.01,0.03
"56","sloc","ln_sloc","pred25","-",0.03,0.08,0,0,0.01,-0.64
"82","cosmic","sloc","mdmre","+",1.27,1.54,0,0.01,0.17,-0.31
"13","tm2","ln_sloc","mmre","+",0.91,0.93,0,0.01,0.21,-0.09
"97","tm2","ln_sloc","mae","+",3.17,3.27,0,0.01,0.21,-0.09
"81","fp","ln_sloc","mdmre","-",0.99,0.82,0,0.01,0.24,0.4
"66","tm2","fp","mdmre","+",0.78,0.99,0,0.01,0.34,-0.56
"69","tm2","ln_sloc","mdmre","+",0.78,0.82,0,0.01,0.38,-0.17
"60","tm1","fp","mdmre","+",0.71,0.99,0,0.01,0.5,-0.76
"71","tm3","fp","mdmre","+",0.71,0.99,0,0.01,0.5,-0.76
"58","tm1","tm3","mdmre","+",0.71,0.71,0.01,0.01,0.65,0
"10","tm2","fp","mmre","+",0.91,1.39,0.01,0.01,0.67,-1.11
"94","tm2","fp","mae","+",3.17,4.87,0.01,0.01,0.67,-1.11
"63","tm1","ln_sloc","mdmre","+",0.71,0.82,0.01,0.01,0.71,-0.46
"74","tm3","ln_sloc","mdmre","+",0.71,0.82,0.01,0.01,0.71,-0.46
"57","tm1","tm2","mdmre","+",0.71,0.78,0.01,0.01,0.73,-0.4
"25","fp","ln_sloc","mmre","-",1.39,0.93,0.01,0.01,0.74,1.03
"64","tm2","tm3","mdmre","-",0.78,0.71,0.01,0.01,0.74,0.4
"109","fp","ln_sloc","mae","-",4.87,3.27,0.01,0.01,0.74,1.03
"7","tm1","ln_sloc","mmre","+",0.77,0.93,0.01,0.01,0.76,-0.58
"18","tm3","ln_sloc","mmre","+",0.77,0.93,0.01,0.01,0.76,-0.58
"91","tm1","ln_sloc","mae","+",2.69,3.27,0.01,0.01,0.76,-0.58
"102","tm3","ln_sloc","mae","+",2.69,3.27,0.01,0.01,0.76,-0.58
"26","cosmic","sloc","mmre","-",2.11,1.92,0.01,0.01,0.84,0.19
"110","cosmic","sloc","mae","-",7.4,6.73,0.01,0.01,0.84,0.19
"4","tm1","fp","mmre","+",0.77,1.39,0.01,0.01,0.94,-1.46
"88","tm1","fp","mae","+",2.69,4.87,0.01,0.01,0.94,-1.46
"15","tm3","fp","mmre","+",0.77,1.39,0.01,0.01,0.95,-1.46
"99","tm3","fp","mae","+",2.69,4.87,0.01,0.01,0.95,-1.46
"2","tm1","tm3","mmre","+",0.77,0.77,0.01,0.01,0.97,0
"76","ucp","cosmic","mdmre","-",1.55,1.27,0.01,0.01,0.97,0.28
"86","tm1","tm3","mae","+",2.69,2.69,0.01,0.01,0.97,0
"77","ucp","sloc","mdmre","-",1.55,1.54,0.01,0.01,0.99,0.01
"1","tm1","tm2","mmre","+",0.77,0.91,0.01,0.01,1,-0.49
"3","tm1","ucp","mmre","+",0.77,3.07,0.01,0.01,1,-1.96
"5","tm1","cosmic","mmre","+",0.77,2.11,0.01,0.01,1,-1.65
"6","tm1","sloc","mmre","+",0.77,1.92,0.01,0.01,1,-1.86
"8","tm2","tm3","mmre","-",0.91,0.77,0.01,0.01,1,0.49
"9","tm2","ucp","mmre","+",0.91,3.07,0.01,0.01,1,-1.83
"11","tm2","cosmic","mmre","+",0.91,2.11,0.01,0.01,1,-1.47
"12","tm2","sloc","mmre","+",0.91,1.92,0.01,0.01,1,-1.62
"14","tm3","ucp","mmre","+",0.77,3.07,0.01,0.01,1,-1.96
"16","tm3","cosmic","mmre","+",0.77,2.11,0.01,0.01,1,-1.65
"17","tm3","sloc","mmre","+",0.77,1.92,0.01,0.01,1,-1.86
"19","ucp","fp","mmre","-",3.07,1.39,0.01,0.01,1,1.37
"20","ucp","cosmic","mmre","-",3.07,2.11,0.01,0.01,1,0.68
"21","ucp","sloc","mmre","-",3.07,1.92,0.01,0.01,1,0.88
"22","ucp","ln_sloc","mmre","-",3.07,0.93,0.01,0.01,1,1.81
"23","fp","cosmic","mmre","+",1.39,2.11,0.01,0.01,1,-0.82
"24","fp","sloc","mmre","+",1.39,1.92,0.01,0.01,1,-0.75
"27","cosmic","ln_sloc","mmre","-",2.11,0.93,0.01,0.01,1,1.43
"28","sloc","ln_sloc","mmre","-",1.92,0.93,0.01,0.01,1,1.57
"59","tm1","ucp","mdmre","+",0.71,1.55,0.01,0.01,1,-1.06
"61","tm1","cosmic","mdmre","+",0.71,1.27,0.01,0.01,1,-0.89
"62","tm1","sloc","mdmre","+",0.71,1.54,0.01,0.01,1,-1.28
"65","tm2","ucp","mdmre","+",0.78,1.55,0.01,0.01,1,-0.97
"67","tm2","cosmic","mdmre","+",0.78,1.27,0.01,0.01,1,-0.77
"68","tm2","sloc","mdmre","+",0.78,1.54,0.01,0.01,1,-1.17
"70","tm3","ucp","mdmre","+",0.71,1.55,0.01,0.01,1,-1.06
"72","tm3","cosmic","mdmre","+",0.71,1.27,0.01,0.01,1,-0.89
"73","tm3","sloc","mdmre","+",0.71,1.54,0.01,0.01,1,-1.28
"75","ucp","fp","mdmre","-",1.55,0.99,0.01,0.01,1,0.66
"78","ucp","ln_sloc","mdmre","-",1.55,0.82,0.01,0.01,1,0.89
"79","fp","cosmic","mdmre","+",0.99,1.27,0.01,0.01,1,-0.4
"80","fp","sloc","mdmre","+",0.99,1.54,0.01,0.01,1,-0.77
"83","cosmic","ln_sloc","mdmre","-",1.27,0.82,0.01,0.01,1,0.68
"84","sloc","ln_sloc","mdmre","-",1.54,0.82,0.01,0.01,1,1.06
"85","tm1","tm2","mae","+",2.69,3.17,0.01,0.01,1,-0.49
"87","tm1","ucp","mae","+",2.69,10.74,0.01,0.01,1,-1.96
"89","tm1","cosmic","mae","+",2.69,7.4,0.01,0.01,1,-1.65
"90","tm1","sloc","mae","+",2.69,6.73,0.01,0.01,1,-1.86
"92","tm2","tm3","mae","-",3.17,2.69,0.01,0.01,1,0.49
"93","tm2","ucp","mae","+",3.17,10.74,0.01,0.01,1,-1.83
"95","tm2","cosmic","mae","+",3.17,7.4,0.01,0.01,1,-1.47
"96","tm2","sloc","mae","+",3.17,6.73,0.01,0.01,1,-1.62
"98","tm3","ucp","mae","+",2.69,10.74,0.01,0.01,1,-1.96
"100","tm3","cosmic","mae","+",2.69,7.4,0.01,0.01,1,-1.65
"101","tm3","sloc","mae","+",2.69,6.73,0.01,0.01,1,-1.86
"103","ucp","fp","mae","-",10.74,4.87,0.01,0.01,1,1.37
"104","ucp","cosmic","mae","-",10.74,7.4,0.01,0.01,1,0.68
"105","ucp","sloc","mae","-",10.74,6.73,0.01,0.01,1,0.88
"106","ucp","ln_sloc","mae","-",10.74,3.27,0.01,0.01,1,1.81
"107","fp","cosmic","mae","+",4.87,7.4,0.01,0.01,1,-0.82
"108","fp","sloc","mae","+",4.87,6.73,0.01,0.01,1,-0.75
"111","cosmic","ln_sloc","mae","-",7.4,3.27,0.01,0.01,1,1.43
"112","sloc","ln_sloc","mae","-",6.73,3.27,0.01,0.01,1,1.57
