id,attribute,type,element
1,ID,EAJava_void,Administrator Profile
2,Preference,EAJava_void,Administrator Profile
3,undefined,EAID_A6EF702C_25F5_41fd_B025_4E5CC9AF20CE,Administrator Profile
4,undefined,EAID_DCEB87CD_2D7E_44c7_B03A_19542445FBCF,Administrator Profile
5,CompanyName,EAJava_void,Employer Profile
6,Preferences,EAJava_void,Employer Profile
7,Requirements,EAJava_void,Employer Profile
8,UserID,EAJava_void,Employer Profile
9,undefined,EAID_DCEB87CD_2D7E_44c7_B03A_19542445FBCF,Employer Profile
10,Job Preference ID,EAJava_void,Job Candidate Profile
11,UserID,EAJava_void,Job Candidate Profile
12,undefined,EAID_BDD8897F_F3FA_4764_9141_05EB4A1F9A81,Job Candidate Profile
13,undefined,EAID_D9E69738_AB8D_4092_A6A9_9518E87A0869,Job Candidate Profile
14,Arrachments,EAJava_void,Job Post
15,Descriptions,EAJava_void,Job Post
16,Employer,EAJava_void,Job Post
17,JobID,EAJava_void,Job Post
18,ID,EAJava_void,Job Preference
19,JobID,EAJava_void,Job Preference
20,undefined,EAID_07675B10_4E6C_4031_A104_42C3CDB78D59,Job Preference
21,Description,EAJava_void,Sponsor
22,ID,EAJava_void,Sponsor
23,Logo,EAJava_void,Sponsor
24,State,EAJava_void,Sponsor
25,undefined,EAID_0094C7ED_EDC2_40b8_AE92_3745E2E4DF03,Sponsor
26,Attachments,EAJava_void,Subscription Log
27,Description,EAJava_void,Subscription Log
28,ID,EAJava_void,Subscription Log
29,Description,EAJava_void,Testimonial
30,UserID,EAJava_void,Testimonial
31,Contact,EAJava_void,User
32,EmailID,EAJava_void,User
33,ID,EAJava_void,User
34,Password,EAJava_void,User
35,Role,EAJava_void,User
36,Job Preference ID,EAJava_void,Visitor
37,undefined,EAID_BDD8897F_F3FA_4764_9141_05EB4A1F9A81,Visitor
