NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Avg_DETs, Arch_Diff,EI,EO,EQ,FN,SWTI,SWTII,SWTIII
1,App user login,4,15,0,12,9,2,1,0,0,0,0,1,0,0,3,1,16,NaN,NaN,12,NaN,0,0,16,4,4.0592,4.296,4.6672
2,Capture Frame from Video and get  LP number,10,25,0,23,2,16,5,1,0,0,1,3,0,1,7,3,15,NaN,NaN,11.666666666666666,NaN,0,0,40,10,10.147999999999998,11.0451,11.668000000000001
3,Extract License Plat Number from Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Extract Metrics on Number of hits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Generate Usage-based bill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Independent Review of Bad Driver Report,9,24,0,20,14,4,2,0,0,0,0,0,0,0,9,0,0,NaN,0,0,NaN,0,0,36,9,9.133199999999999,10.6027,11.3467
7,Post Bad Driver Report to Insurance DB,32,26,0,23,13,10,0,0,0,1,0,1,0,1,31,1,272,NaN,NaN,240,NaN,0,0,128,32,32.47360000000001,58.82389999999999,62.32510000000005
8,Query bad driver reporting DB,5,14,0,11,9,2,0,0,0,1,0,1,0,1,4,1,30,NaN,NaN,25,NaN,0,0,20,5,5.074,7.4468,7.525
9,Recording video clips in a circular buffer,4,9,0,8,2,5,1,0,0,0,0,0,0,0,4,0,0,NaN,0,0,NaN,0,0,16,4,4.0592,6.2711,6.358200000000001
10,Recording video of bad driving event,13,17,0,14,4,9,1,0,0,1,0,2,0,1,11,2,48.5,NaN,NaN,42,NaN,0,0,52,13,13.192399999999996,23.5324,23.623399999999997
11,Resolve Potential Duplicates,3,10,0,8,6,2,0,0,0,0,0,0,0,0,3,0,0,NaN,0,0,NaN,0,0,12,3,3.0443999999999996,3.2220000000000004,3.5004
12,Reviewer/Agent Login,5,18,0,14,8,3,3,0,0,0,0,0,0,0,5,0,0,NaN,0,0,NaN,0,0,20,5,5.074,5.6751,5.8340000000000005
13,Send Drunk Driver Alert,9,27,0,25,6,13,6,0,0,0,0,0,0,0,9,0,0,NaN,0,0,NaN,0,0,36,9,9.133199999999999,10.1745,10.5012
14,Upload video clip to bad driver recording DB,5,19,0,14,2,12,0,0,0,0,0,3,0,0,2,3,5,NaN,NaN,3.3333333333333335,NaN,0,0,20,5,5.074,5.37,5.8340000000000005
15,View video clips,4,11,0,9,2,6,1,0,0,0,0,1,0,0,3,1,19,NaN,NaN,15,NaN,0,0,16,4,4.0592,5.2327,5.512700000000001
