id,path,transactional,path_length,diagram,useCase
1,User->Ar Mode->if in Hawaii->Check Location->If not in Hawaii,TRAN_NA,5,Render Battle scene,Render Battle scene
2,User->VR mode->If not in Hawaii,TRAN_NA,3,Render Battle scene,Render Battle scene
3,Location->Check Location->If not in Hawaii,TRAN_NA,3,Render Battle scene,Render Battle scene
