id,element,useCase,type,component
id,element,useCase,type,component
1,User: Student course list,approve course preference,boundary,Studentcourselist
2,User:Homepage,approve course preference,boundary,Homepage
3, Student course list:Review course and approve,approve course preference,boundary,Studentcourselist
4,Update status in database: Student course list,approve course preference,boundary,Studentcourselist
5,Update status in database:Database,approve course preference,control,Updatestatusindatabase
6,Update status in database:Homepage,approve course preference,boundary,Homepage
7,Review course and approve:Update status in database,approve course preference,control,Updatestatusindatabase
8,stl#User: Student course list,approve course preference,Stimulus,undefined
9,stl#User:Homepage,approve course preference,Stimulus,undefined
10,User:assign student,assign counselor,boundary,Studentcourselist
11,User:Homepage,assign counselor,boundary,Homepage
12,User:counselor student assignment menu,assign counselor,boundary,Studentcourselist
13,Allocate a counselor :Display updated counselor,assign counselor,boundary,Studentcourselist
14,Show list of stuedents:Allocate a counselor ,assign counselor,boundary,Studentcourselist
15,Display updated counselor:Homepage,assign counselor,boundary,Homepage
16,Display updated counselor:counselor student assignment menu,assign counselor,boundary,Studentcourselist
17,counselor student assignment menu:Show list of stuedents,assign counselor,boundary,Studentcourselist
18,stl#User:assign student,assign counselor,Stimulus,undefined
19,stl#User:Homepage,assign counselor,Stimulus,undefined
20,stl#User:counselor student assignment menu,assign counselor,Stimulus,undefined
21,User:Homepage,assign teacher to course,boundary,Homepage
22,User:Teacher select page,assign teacher to course,boundary,Homepage
23,Confirmation message:Homepage,assign teacher to course,boundary,Homepage
24,Update database:Confirmation message,assign teacher to course,control,Saveinformation
25,Update database:Database,assign teacher to course,entity,Database
26,Save information:Update database,assign teacher to course,entity,Database
27,Teacher select page:Save information,assign teacher to course,control,Saveinformation
28,stl#User:Homepage,assign teacher to course,Stimulus,undefined
29,stl#User:Teacher select page,assign teacher to course,Stimulus,undefined
30,User:Homepage,authenticate,boundary,Homepage
31,User:Input user name and password,authenticate,control,Inputusernameandpassword
32,Check if the id exists:Database,authenticate,entity,Database
33,Check if the id exists:Display confirmation,authenticate,control,Displayconfirmation
34,Validate usename and password:Check if the id exists,authenticate,control,Checkiftheidexists
35,Display confirmation:Homepage,authenticate,boundary,Homepage
36,Display confirmation:Input user name and password,authenticate,control,Inputusernameandpassword
37,Input user name and password:Validate usename and password,authenticate,control,Inputusernameandpassword
38,stl#User:Homepage,authenticate,Stimulus,undefined
39,stl#User:Input user name and password,authenticate,Stimulus,undefined
40,User:Homepage,export activity info,boundary,Homepage
41,User:Export button,export activity info,boundary,Exportbutton
42,User:Export button,export activity info,boundary,Exportbutton
43,Display confirmation page:Database,export activity info,entity,Database
44,Display confirmation page:Homepage,export activity info,boundary,Homepage
45,Display confirmation page:Export button,export activity info,boundary,Exportbutton
46,Generate Csv file:Display confirmation page,export activity info,boundary,Homepage
47,Export button:Generate Csv file,export activity info,control,GenerateCsvfile
48,stl#User:Homepage,export activity info,Stimulus,undefined
49,stl#User:Export button,export activity info,Stimulus,undefined
50,stl#User:Export button,export activity info,Stimulus,undefined
51,User:Click button,generate course section,boundary,Exportbutton
52,User:Homepage,generate course section,boundary,Homepage
53,User:Course list menu,generate course section,boundary,Studentcourselist
54,Calcuate course data:Display course list,generate course section,boundary,Studentcourselist
55,Course list menu:Calcuate course data,generate course section,entity,Database
56,Click button:Display course list,generate course section,boundary,Studentcourselist
57,Display course list:Database,generate course section,entity,Database
58,Display confirmation page:Homepage,generate course section,boundary,Homepage
59,Display course list:Display confirmation page,generate course section,boundary,Homepage
60,stl#User:Click button,generate course section,Stimulus,undefined
61,stl#User:Homepage,generate course section,Stimulus,undefined
62,stl#User:Course list menu,generate course section,Stimulus,undefined
63,User:Input course page,import district course list,boundary,Studentcourselist
64,User:Homepage,import district course list,boundary,Homepage
65,User:Control1,import district course list,control,Control1
66,Display comfirm information:Homepage,import district course list,boundary,Homepage
67,Display comfirm information:Input course page,import district course list,boundary,Studentcourselist
68,Intert all data at database:Display comfirm information,import district course list,control,Displaycomfirminformation
69,Input course page:Intert all data at database,import district course list,entity,Database
70,Intert all data at database:database,import district course list,entity,Database
71,stl#User:Input course page,import district course list,Stimulus,undefined
72,stl#User:Homepage,import district course list,Stimulus,undefined
73,stl#User:Control1,import district course list,Stimulus,undefined
74,User:Students course menu,input course preference,boundary,Studentcourselist
75,User:Homepage,input course preference,boundary,Homepage
76,User:Select prefer course,input course preference,boundary,Studentcourselist
77,User:send students detail,input course preference,boundary,Studentcourselist
78,Confirmation page:Database,input course preference,entity,Database
79,Confirmation page:Homepage,input course preference,boundary,Homepage
80,Select prefer course:Confirmation page,input course preference,control,Displaycomfirminformation
81,Display page:Confirmation page,input course preference,control,Displaycomfirminformation
82,Request students detail:Display page,input course preference,boundary,Homepage
83,send students detail:Display page,input course preference,boundary,Homepage
84,Students course menu:Request students detail,input course preference,boundary,Studentcourselist
