id, function, functional, DET, FTR, boundaries, controls, entities, typeStr
1,User:Homepage,EQ,0,1,1,0,0,boundary
2,User: Student course list--> Student course list:Review course and approve-->Review course and approve:Update status in database-->Update status in database:Homepage,EQ,1,4,3,1,0,boundary->boundary->control->boundary
3,User: Student course list--> Student course list:Review course and approve-->Review course and approve:Update status in database-->Update status in database:Database,EI,0,4,2,2,0,boundary->boundary->control->control
4,User: Student course list--> Student course list:Review course and approve-->Review course and approve:Update status in database-->Update status in database: Student course list--> Student course list:Review course and approve,EQ,0,5,4,1,0,boundary->boundary->control->boundary->boundary
5,User:counselor student assignment menu-->counselor student assignment menu:Show list of stuedents-->Show list of stuedents:Allocate a counselor -->Allocate a counselor :Display updated counselor-->Display updated counselor:counselor student assignment menu-->counselor student assignment menu:Show list of stuedents,EQ,3,6,6,0,0,boundary->boundary->boundary->boundary->boundary->boundary
6,User:counselor student assignment menu-->counselor student assignment menu:Show list of stuedents-->Show list of stuedents:Allocate a counselor -->Allocate a counselor :Display updated counselor-->Display updated counselor:Homepage,EQ,3,5,5,0,0,boundary->boundary->boundary->boundary->boundary
7,User:assign student,EQ,0,1,1,0,0,boundary
8,User:Teacher select page-->Teacher select page:Save information-->Save information:Update database-->Update database:Database,EI,2,4,1,1,2,boundary->control->entity->entity
9,User:Teacher select page-->Teacher select page:Save information-->Save information:Update database-->Update database:Confirmation message-->Confirmation message:Homepage,EQ,2,5,2,2,1,boundary->control->entity->control->boundary
10,User:Input user name and password-->Input user name and password:Validate usename and password-->Validate usename and password:Check if the id exists-->Check if the id exists:Display confirmation-->Display confirmation:Input user name and password-->Input user name and password:Validate usename and password,EQ,1,6,0,6,0,control->control->control->control->control->control
11,User:Input user name and password-->Input user name and password:Validate usename and password-->Validate usename and password:Check if the id exists-->Check if the id exists:Display confirmation-->Display confirmation:Homepage,EO,1,5,1,4,0,control->control->control->control->boundary
12,User:Input user name and password-->Input user name and password:Validate usename and password-->Validate usename and password:Check if the id exists-->Check if the id exists:Database,EI,2,4,0,3,1,control->control->control->entity
13,User:Export button-->Export button:Generate Csv file-->Generate Csv file:Display confirmation page-->Display confirmation page:Export button-->Export button:Generate Csv file,EQ,1,5,3,2,0,boundary->control->boundary->boundary->control
14,User:Export button-->Export button:Generate Csv file-->Generate Csv file:Display confirmation page-->Display confirmation page:Homepage,EQ,0,4,3,1,0,boundary->control->boundary->boundary
15,User:Export button-->Export button:Generate Csv file-->Generate Csv file:Display confirmation page-->Display confirmation page:Database,EQ,1,4,2,1,1,boundary->control->boundary->entity
16,User:Export button,EQ,0,1,1,0,0,boundary
17,User:Course list menu-->Course list menu:Calcuate course data-->Calcuate course data:Display course list-->Display course list:Display confirmation page-->Display confirmation page:Homepage,EQ,1,5,4,0,1,boundary->entity->boundary->boundary->boundary
18,User:Course list menu-->Course list menu:Calcuate course data-->Calcuate course data:Display course list-->Display course list:Database,EQ,2,4,2,0,2,boundary->entity->boundary->entity
19,User:Click button-->Click button:Display course list-->Display course list:Display confirmation page-->Display confirmation page:Homepage,EQ,1,4,4,0,0,boundary->boundary->boundary->boundary
20,User:Click button-->Click button:Display course list-->Display course list:Database,EI,2,3,2,0,1,boundary->boundary->entity
21,User:Control1,EQ,0,1,0,1,0,control
22,User:Input course page-->Input course page:Intert all data at database-->Intert all data at database:database,EI,2,3,1,0,2,boundary->entity->entity
23,User:Input course page-->Input course page:Intert all data at database-->Intert all data at database:Display comfirm information-->Display comfirm information:Input course page-->Input course page:Intert all data at database,EQ,3,5,2,1,2,boundary->entity->control->boundary->entity
24,User:Input course page-->Input course page:Intert all data at database-->Intert all data at database:Display comfirm information-->Display comfirm information:Homepage,EQ,1,4,2,1,1,boundary->entity->control->boundary
25,User:send students detail-->send students detail:Display page-->Display page:Confirmation page-->Confirmation page:Homepage,EQ,1,4,3,1,0,boundary->boundary->control->boundary
