id,operation,element
1,queryagentactivies,queryagentactivies
2,listofagentswithstatus,queryagentactivies
3,agent,queryagentactivies
4,leaddetail,leaddetail
5,leadslist,leaddetail
6,callfinishsanddisplaycalldetails,leaddetail
7,queryleadinformation,leaddetail
8,loginpage,loginpage
9,thirdpartycallagency,loginpage
10,checklogininformation,loginpage
11,agent,loginpage
12,calllog,loginpage
13,softphonescreen,softphonescreen
14,answerphonecall,softphonescreen
15,sendconferencerequest,softphonescreen
16,1800dialbutton,1800dialbutton
17,autodialinglist,1800dialbutton
18,voicemailpanel,voicemailpanel
19,redirecttovoidmail,voicemailpanel
20,conferencecancelnotification,voicemailpanel
21,notifycancelrequest,voicemailpanel
22,TwilioAPI,TwilioAPI
23,connecttoTwilioAPIforagentscall,TwilioAPI
24,callernumber,callernumber
25,incomecallpopup,callernumber
26,connecttoongoingcall,callernumber
27,callrecorddownloadedmessage,callrecorddownloadedmessage
28,receivecallinformation,callrecorddownloadedmessage
29,callrecords,callrecorddownloadedmessage
