id,attribute,type,element
1,Title,EAJava_void,Activity
2,Time,EAJava_void,Activity
3,Status,EAJava_void,Activity
4,AssignedTo,EAJava_void,Activity
5,Phone,EAJava_void,Activity
6,LimitedUserName,EAJava_void,Case Management
7,DOB,EAJava_void,Case Management
8,Email,EAJava_void,Case Management
9,Phone,EAJava_void,Case Management
10,Case Manager,EAJava_void,Case Management
11,ID,EAJava_void,Case Management
12,Document ID,EAJava_void,Case Management
13,Action,EAJava_void,Case Management
14,ID,EAJava_void,Case Manager
15,Phone,EAJava_void,Case Manager
16,Address,EAJava_void,Case Manager
17,Email,EAJava_void,Case Manager
18,Name,EAJava_void,Case Manager
19,Name,EAJava_void,Case information
20,Education,EAJava_void,Case information
21,Work,EAJava_void,Case information
22,Age,EAJava_void,Case information
23,VitalDocumentList,EAJava_void,Case information
24,EmergencyContact,EAJava_void,Case information
25,Server,EAJava_void,Case information
26,Email,EAJava_void,Case information
27,Address,EAJava_void,Case information
28,Name,EAJava_void,Document upload
29,Description,EAJava_void,Document upload
30,Date,EAJava_void,Document upload
31,ID,EAJava_void,General User
32,Phone,EAJava_void,General User
33,Address,EAJava_void,General User
34,Email,EAJava_void,General User
35,Name,EAJava_void,General User
36,Name,EAJava_void,Limited User
37,Age,EAJava_void,Limited User
38,Education,EAJava_void,Limited User
39,Work,EAJava_void,Limited User
40,DOB,EAJava_void,Limited User
41,Phone,EAJava_void,Limited User
42,Email,EAJava_void,Limited User
43,Address,EAJava_void,Limited User
44,Vital document,EAJava_void,Limited User
45,UserName,EAJava_void,Rest password
46,Password,EAJava_void,Rest password
47,PasswordConfirm,EAJava_void,Rest password
48,ID,EAJava_void,Use information
49,Phone,EAJava_void,Use information
50,Address,EAJava_void,Use information
51,Email,EAJava_void,Use information
52,Name,EAJava_void,Use information
53,UserName,EAJava_void,User management
54,UserID,EAJava_void,User management
55,Status,EAJava_void,User management
56,UserEmail,EAJava_void,User management
57,UserPhone,EAJava_void,User management
