id,element,attributeNum,operationNum,instanceVarNum,externalOperNum,parameterNum,weightedOperNum,numberOfDerivedClasses,numberOfChildren,numberOfClassesInherited,depthInheritanceTree,numberOfDerivingClasses,isTopLevelClass,numberOfClassesInheritedFrom,numberOfInheritanceRelationships,numberOfAssociatedClasses,numberOfAssociatingClasses,numberOfAssociationRelationships,numberOfUsedClasses,numberOfUsingClasses,numberOfUsageRelationships,couplingBetweenObjects
1,NewProcessService$NewProcessBinder,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
2,ContentHandler,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
3,Xlog,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
4,HandlerActivity$2,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
5,MainProcessService,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
6,XLoger,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
7,XmlSerializer,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
8,XlogUtils,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
9,CrashActivity$1,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
10,Attributes,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
11,XmlPullParserException,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
12,IMainProcessFunction$Stub,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
13,ThreadActivity$3,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
14,MainActivity,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
15,BuildConfig,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
16,INewProcessFunction$Stub,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
17,MyThread,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
18,Demo,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
19,BuildConfig,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
20,DemoActivity,0,11,0,0,8,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
21,Locator,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
22,MyAsyncTask,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
23,SAXException,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
24,R,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
25,XmlPullParser,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
26,R$string,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
27,ExampleActivity$2,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
28,H,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
