id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,General staff,actor,3,0,Log an activity,Log an activity,
2,Administrator,actor,3,0,Log an activity,Log an activity,
3,insert activity into case,control,1,1,Log an activity,Log an activity,
4,validate activity description,control,3,1,Log an activity,Log an activity,
5,case information,entity,0,1,Log an activity,Log an activity,
6,blank description error,boundary,0,6,Log an activity,Log an activity,
7,activity description page,boundary,1,6,Log an activity,Log an activity,
8,display activity description page,control,1,1,Log an activity,Log an activity,
9,Add new button,boundary,1,5,Log an activity,Log an activity,
10,Case Manager,actor,3,0,Log an activity,Log an activity,
