id, function, functional, DET, FTR, boundaries, controls, entities, typeStr
1,Administrator:article add page-->article add page:submit article to blog category-->submit article to blog category:Facebook,EI,1,3,2,0,1,boundary->boundary->entity
2,Administrator:article add page-->article add page:submit article to blog category-->submit article to blog category:Google plus,EQ,1,3,2,0,1,boundary->boundary->actor
3,Administrator:article add page-->article add page:submit article to blog category-->submit article to blog category:Twitter,EI,1,3,2,0,1,boundary->boundary->entity
4,Administrator:article add page-->article add page:submit article to blog category-->submit article to blog category:article,EQ,0,3,3,0,0,boundary->boundary->boundary
5,Administrator:Admin interface-->Admin interface:navigate article add page-->navigate article add page:article add page-->article add page:submit article to blog category-->submit article to blog category:Facebook,EQ,1,5,3,0,2,entity->boundary->boundary->boundary->entity
6,Administrator:Admin interface-->Admin interface:navigate article add page-->navigate article add page:article add page-->article add page:submit article to blog category-->submit article to blog category:Google plus,EQ,1,5,3,0,2,entity->boundary->boundary->boundary->actor
7,Administrator:Admin interface-->Admin interface:navigate article add page-->navigate article add page:article add page-->article add page:submit article to blog category-->submit article to blog category:Twitter,EQ,1,5,3,0,2,entity->boundary->boundary->boundary->entity
8,Administrator:Admin interface-->Admin interface:navigate article add page-->navigate article add page:article add page-->article add page:submit article to blog category-->submit article to blog category:article,EO,0,5,4,0,1,entity->boundary->boundary->boundary->boundary
9,User:Invalid error message,EQ,0,1,0,1,0,control
10,User:Feedback form-->Feedback form:Rest cal for inserting feedback-->Rest cal for inserting feedback:Validate feedback data-->Validate feedback data:Neon CRM,EQ,1,4,0,3,1,control->control->control->actor
11,User:Feedback form-->Feedback form:Rest cal for inserting feedback-->Rest cal for inserting feedback:Validate feedback data-->Validate feedback data:Display an invalid feedback error message-->Display an invalid feedback error message:Invalid error message,EQ,2,5,0,5,0,control->control->control->control->control
12,User:Feedback page-->Feedback page:display feedback form-->display feedback form:Feedback form-->Feedback form:Rest cal for inserting feedback-->Rest cal for inserting feedback:Validate feedback data-->Validate feedback data:Neon CRM,EQ,1,6,0,5,1,control->control->control->control->control->actor
13,User:Feedback page-->Feedback page:display feedback form-->display feedback form:Feedback form-->Feedback form:Rest cal for inserting feedback-->Rest cal for inserting feedback:Validate feedback data-->Validate feedback data:Display an invalid feedback error message-->Display an invalid feedback error message:Invalid error message,EQ,2,7,0,7,0,control->control->control->control->control->control->control
14,User:Register Online Button-->Register Online Button:redirect to registration page-->redirect to registration page:Registration Page-->Registration Page:Rest cal for inserting registration data-->Rest cal for inserting registration data:Validate registration information-->Validate registration information:Neon CRM,EQ,1,6,0,5,1,control->control->control->control->control->actor
15,User:Register Online Button-->Register Online Button:redirect to registration page-->redirect to registration page:Registration Page-->Registration Page:Rest cal for inserting registration data-->Rest cal for inserting registration data:Validate registration information-->Validate registration information:Display an invalid error message-->Display an invalid error message:Invalid error message,EQ,0,7,0,7,0,control->control->control->control->control->control->control
16,User:Registration Page-->Registration Page:Rest cal for inserting registration data-->Rest cal for inserting registration data:Validate registration information-->Validate registration information:Neon CRM,EQ,1,4,0,3,1,control->control->control->actor
17,User:Registration Page-->Registration Page:Rest cal for inserting registration data-->Rest cal for inserting registration data:Validate registration information-->Validate registration information:Display an invalid error message-->Display an invalid error message:Invalid error message,EQ,0,5,0,5,0,control->control->control->control->control
