id,element,useCase,type,component
1,User:view status of submitted comments button,View Status of Submitted Comment,control,submittedcommentsscreen
2,User:comment status view,View Status of Submitted Comment,control,submittedcommentsscreen
3,User:no available comments,View Status of Submitted Comment,boundary,Attendeeisnotavailable
4,query comments:comment,View Status of Submitted Comment,control,submittedcommentsscreen
5,query comments:comment status view,View Status of Submitted Comment,control,submittedcommentsscreen
6,query comments:no available comments,View Status of Submitted Comment,boundary,Attendeeisnotavailable
7,view status of submitted comments button:query comments,View Status of Submitted Comment,control,submittedcommentsscreen
8,stl#User:view status of submitted comments button,View Status of Submitted Comment,Stimulus,undefined
9,stl#User:comment status view,View Status of Submitted Comment,Stimulus,undefined
10,stl#User:no available comments,View Status of Submitted Comment,Stimulus,undefined
