id,element,useCase,type,component
1,User:Chooses project,Change Project,boundary,Project
2,User:Selects settings button from the Android toolbar,Change Project,boundary,<<block>>    <<system>>   Meeting minutes Android
3,User:Selects change project option.,Change Project,boundary,Project
4,User:Hompage,Change Project,boundary,Hompage
5,Chooses project:invalid information is displayed to the user,Change Project,control,<<entity>>  User  Datastore
6,Dropdown settings menu is displayed.:displays the select a project screen.,Change Project,control,Edit Profile Screen
7,Selects settings button from the Android toolbar:Dropdown settings menu is displayed.,Change Project,control,Meeting Minute Content
8,invalid information is displayed to the user:Hompage,Change Project,boundary,Hompage
9,Selects change project option.:displays the select a project screen.,Change Project,control,Edit Profile Screen
10,displays the select a project screen.:invalid information is displayed to the user,Change Project,control,<<entity>>  User  Datastore
11,invalid information is displayed to the user:project db,Change Project,boundary,Project
12,stl#User:Chooses project,Change Project,Stimulus,undefined
13,stl#User:Selects settings button from the Android toolbar,Change Project,Stimulus,undefined
14,stl#User:Selects change project option.,Change Project,Stimulus,undefined
15,stl#User:Hompage,Change Project,Stimulus,undefined
