NUM,UC,UEUCW_EMP,UEUCW_ALY,UEXUCW_EMP,UEXUCW_ALY, Effort,Effort_ALY,CCSS_EMP,CCSS_ALY, EI_EMP,EI_ALY,EO_EMP,EO_ALY,EQ,EQ_ALY,FN,FN_ALY,DM, DM_ALY,INT,INT_ALY,CTRL,CTRL_ALY,EXTIVK,EXTIVK_ALY,EXTCLL,EXTCLL_ALY,NT,NT_ALY
159,Choose Avatar,undefined,15,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0
160,Choose Weapon,undefined,15,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0
161,Create Account,undefined,15,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0
162,Login,undefined,15,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0
163,Render Intial Mode,undefined,15,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0
164,Choose Avatar,undefined,15,undefined,1,undefined,0,undefined,0,undefined,1,undefined,0,undefined,0,undefined,0,undefined,1,undefined,0,undefined,1,undefined,0,undefined,0,undefined,1
165,Play Ar mode,undefined,15,undefined,1,undefined,0,undefined,0,undefined,1,undefined,0,undefined,0,undefined,0,undefined,1,undefined,0,undefined,1,undefined,0,undefined,0,undefined,1
166,Determine AR/ VR mode,undefined,15,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0
167,Navigate in AR Mode,undefined,15,undefined,4,undefined,0,undefined,0,undefined,1,undefined,0,undefined,0,undefined,0,undefined,1,undefined,1,undefined,2,undefined,0,undefined,0,undefined,2
168,Link the tourist spot to Doug's E-book,undefined,15,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0
169,Render Battle Scene,undefined,15,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0
170,Choose Weapon,undefined,15,undefined,1,undefined,0,undefined,0,undefined,1,undefined,0,undefined,0,undefined,0,undefined,1,undefined,0,undefined,1,undefined,0,undefined,0,undefined,1
171,Use Weapon,undefined,15,undefined,1,undefined,0,undefined,0,undefined,1,undefined,0,undefined,0,undefined,0,undefined,1,undefined,0,undefined,1,undefined,0,undefined,0,undefined,1
172,Fight Battle,undefined,15,undefined,2,undefined,0,undefined,0,undefined,2,undefined,0,undefined,0,undefined,0,undefined,2,undefined,0,undefined,2,undefined,0,undefined,0,undefined,2
173,Update Database,undefined,15,undefined,3,undefined,0,undefined,0,undefined,3,undefined,0,undefined,0,undefined,0,undefined,3,undefined,0,undefined,3,undefined,0,undefined,0,undefined,3
