   NUM    variable    value
106  19              EF    1.0250
107  11              EF    0.9350
108   2              EF    0.9950
109   1              EF    1.0250
110  14              EF    0.9950
111  10              EF    0.9650
112   3              EF    1.0400
113  12              EF    1.0250
114   7              EF    1.1500
115  16              EF    1.2500
116  17              EF    0.8750
117   8              EF    1.0250
118  20              EF    1.2900
119  15              EF    1.3100
120  18              EF    1.3250
121  13        EUCP_ALY   77.9200
122   6        EUCP_ALY  398.0215
123   9        EUCP_ALY  535.3001
124   4        EUCP_ALY  113.0500
125   5        EUCP_ALY  115.6800
126  19        EUCP_ALY  118.1700
127  11        EUCP_ALY  414.3827
128   2        EUCP_ALY  132.1000
129   1        EUCP_ALY  146.6800
130  14        EUCP_ALY  148.1800
131  10        EUCP_ALY  155.3200
132   3        EUCP_ALY  186.7000
133  12        EUCP_ALY  227.1500
134   7        EUCP_ALY  639.3138
135  16        EUCP_ALY  272.4000
136  17        EUCP_ALY  201.0300
137   8        EUCP_ALY  304.4700
138  20        EUCP_ALY  731.1978
139  15        EUCP_ALY  251.1000
140  18        EUCP_ALY 1067.0000
141  13       EXUCP_ALY   61.5700
142   6       EXUCP_ALY  441.9749
143   9       EXUCP_ALY  598.5422
144   4       EXUCP_ALY  158.6200
145   5       EXUCP_ALY   97.2800
146  19       EXUCP_ALY  107.8600
147  11       EXUCP_ALY  550.7618
148   2       EXUCP_ALY  186.1000
149   1       EXUCP_ALY  126.3800
150  14       EXUCP_ALY  126.0900
151  10       EXUCP_ALY  293.6700
152   3       EXUCP_ALY  181.2100
153  12       EXUCP_ALY  169.6800
154   7       EXUCP_ALY  560.5963
155  16       EXUCP_ALY   85.1300
156  17       EXUCP_ALY  233.6800
157   8       EXUCP_ALY  220.3100
158  20       EXUCP_ALY  786.9774
159  15       EXUCP_ALY  169.2700
160  18       EXUCP_ALY 1061.0600
161  13        DUCP_ALY   50.9900
162   6        DUCP_ALY  456.6259
163   9        DUCP_ALY  662.9138
164   4        DUCP_ALY  182.2900
165   5        DUCP_ALY  182.2900
166  19        DUCP_ALY   89.3900
167  11        DUCP_ALY  600.5926
168   2        DUCP_ALY  192.7500
169   1        DUCP_ALY  110.7000
170  14        DUCP_ALY  101.2400
171  10        DUCP_ALY  288.3200
172   3        DUCP_ALY  153.7500
173  12        DUCP_ALY  134.1000
174   7        DUCP_ALY  514.8550
175  16        DUCP_ALY   96.4800
176  17        DUCP_ALY  246.5300
177   8        DUCP_ALY  191.4300
178  20        DUCP_ALY  843.9696
179  15        DUCP_ALY  149.2600
180  18        DUCP_ALY 1173.8400
181  13 Effort_Norm_UCP  464.2500
182   6 Effort_Norm_UCP 1141.9000
183   9 Effort_Norm_UCP 2529.0000
184   4 Effort_Norm_UCP  393.6300
185   5 Effort_Norm_UCP  240.6300
186  19 Effort_Norm_UCP  194.0900
187  11 Effort_Norm_UCP 2447.9300
188   2 Effort_Norm_UCP  681.7100
189   1 Effort_Norm_UCP  652.0200
190  14 Effort_Norm_UCP  294.6100
191  10 Effort_Norm_UCP  572.1800
192   3 Effort_Norm_UCP  681.0500
193  12 Effort_Norm_UCP  549.8200
194   7 Effort_Norm_UCP 1045.2600
195  16 Effort_Norm_UCP  931.8400
196  17 Effort_Norm_UCP 1645.5400
197   8 Effort_Norm_UCP  579.5400
198  20 Effort_Norm_UCP 3216.9900
199  15 Effort_Norm_UCP  787.0600
200  18 Effort_Norm_UCP 3264.9700
