id,element,useCase,type,component
1,User:The user clicks on the Forward/Rewind button listed in the video window,Forward/Rewind Video,boundary,TheuserclicksontheForwardRewindbuttonlistedinthevideowindow
2,User:opens Go Grrrls App ,Forward/Rewind Video,boundary,Go Grrrls App
3,User:Click on view content ,Forward/Rewind Video,boundary,chapter view
4,User:The user clicks on the play button,Forward/Rewind Video,boundary,TheuserclicksontheForwardRewindbuttonlistedinthevideowindow
5,User:clicks on specific chapter ,Forward/Rewind Video,control,Chapter
6,Chapter content is loaded and with watch more link listed :The video starts playing ,Forward/Rewind Video,control,Video
7,Display all the chapters listed:Chapter content is loaded and with watch more link listed ,Forward/Rewind Video,boundary,TheuserclicksontheForwardRewindbuttonlistedinthevideowindow
8,clicks on specific chapter :Chapter content is loaded and with watch more link listed ,Forward/Rewind Video,boundary,TheuserclicksontheForwardRewindbuttonlistedinthevideowindow
9,Click on view content :Display all the chapters listed,Forward/Rewind Video,control,Chapter
10,Show the home page of the app :Display all the chapters listed,Forward/Rewind Video,control,Chapter
11,opens Go Grrrls App :Show the home page of the app ,Forward/Rewind Video,control,Home
12,The user clicks on the Forward/Rewind button listed in the video window:The video is played faster or slowed down when forward and rewind button is clicked upon respectively,Forward/Rewind Video,boundary,TheuserclicksontheForwardRewindbuttonlistedinthevideowindow
13,The user clicks on the play button:The video starts playing ,Forward/Rewind Video,control,Video
14,The video starts playing :The video is played faster or slowed down when forward and rewind button is clicked upon respectively,Forward/Rewind Video,boundary,TheuserclicksontheForwardRewindbuttonlistedinthevideowindow
15,stl#User:The user clicks on the Forward/Rewind button listed in the video window,Forward/Rewind Video,Stimulus,undefined
16,stl#User:opens Go Grrrls App ,Forward/Rewind Video,Stimulus,undefined
17,stl#User:Click on view content ,Forward/Rewind Video,Stimulus,undefined
18,stl#User:The user clicks on the play button,Forward/Rewind Video,Stimulus,undefined
19,stl#User:clicks on specific chapter ,Forward/Rewind Video,Stimulus,undefined
