id,element,useCase,type,component
1,user:no order history page,Track Order,boundary,loginpage
2,user:order status,Track Order,boundary,user
3,user:Track order button,Track Order,boundary,addtocartbutton
4,Track order button:retrieve order status,Track Order,boundary,user
5,retrieve order status:no order history page,Track Order,boundary,loginpage
6,retrieve order status:order,Track Order,boundary,user
7,retrieve order status:order status,Track Order,boundary,user
8,stl#user:no order history page,Track Order,Stimulus,undefined
9,stl#user:order status,Track Order,Stimulus,undefined
10,stl#user:Track order button,Track Order,Stimulus,undefined
