id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,pend the task,control,1,1,Accept/Reject Comment,Accept/Reject Comment,
2,Change the status of the task,control,1,1,Accept/Reject Comment,Accept/Reject Comment,
3,Task,entity,0,2,Accept/Reject Comment,Accept/Reject Comment,
4,Update acceptance status,control,3,1,Accept/Reject Comment,Accept/Reject Comment,
5,Comment View,boundary,1,1,Accept/Reject Comment,Accept/Reject Comment,
6,User Info,entity,0,1,Accept/Reject Comment,Accept/Reject Comment,
7,Retrieve comment and user info,control,2,1,Accept/Reject Comment,Accept/Reject Comment,
8,Comments,entity,0,3,Accept/Reject Comment,Accept/Reject Comment,
9,submitted comments  screen,boundary,1,2,Accept/Reject Comment,Accept/Reject Comment,
10,Display the submitted comments screen,control,2,1,Accept/Reject Comment,Accept/Reject Comment,
11,Administrator's dashboard,boundary,1,1,Accept/Reject Comment,Accept/Reject Comment,
12,Administrator,actor,3,0,Accept/Reject Comment,Accept/Reject Comment,
