id,element,useCase,type,component
1,User:Homepage,Update & Maintain website,control,Event Image
2,User:Maintainer manages website page,Update & Maintain website,boundary,logsintoadministratorpanelandupdatesthedata
3,Show confirmation page:Homepage,Update & Maintain website,control,Event Image
4,Maintainer manages website page:logs into administrator panel  and updates the data ,Update & Maintain website,boundary,logsintoadministratorpanelandupdatesthedata
5,Show confirmation page:Maintainer manages website page,Update & Maintain website,boundary,logsintoadministratorpanelandupdatesthedata
6,logs into administrator panel  and updates the data :Show confirmation page,Update & Maintain website,control,Job Application Form 
7,stl#User:Homepage,Update & Maintain website,Stimulus,undefined
8,stl#User:Maintainer manages website page,Update & Maintain website,Stimulus,undefined
