id,element,useCase,type,component
1,Administrator:Information invalid,Edit meeting,control,UserInfo
2,Administrator:Edit meeting option,Edit meeting,control,Meeting
3,Administrator:meeting information screen,Edit meeting,control,Meeting
4,Edit meeting option:display meetings screen,Edit meeting,control,Meeting
5,verify attendee list:Information invalid,Edit meeting,control,UserInfo
6,display meetings screen:meeting,Edit meeting,control,Meeting
7,display meetings screen:meeting information screen,Edit meeting,control,Meeting
8,save user info:meeting info,Edit meeting,control,Meeting
9,meeting information screen:verify attendee list,Edit meeting,entity,System Boundary
10,verify attendee list:save user info,Edit meeting,control,UserInfo
11,stl#Administrator:Information invalid,Edit meeting,Stimulus,undefined
12,stl#Administrator:Edit meeting option,Edit meeting,Stimulus,undefined
13,stl#Administrator:meeting information screen,Edit meeting,Stimulus,undefined
