id,path,functional,transactional,path_length,diagram,useCase
1,Employee->Coupon Notification Popup Window->Redeem,FUNC_NA,TRAN_NA,undefined,Receive Coupon,Receive Coupon - Android
2,Employee->Coupon Notification Popup Window->Save it later->Local coupon database,EI,CTRL|DM|EI,undefined,Receive Coupon,Receive Coupon - Android
3,Employee->Coupon Notification Popup Window->Cancel,FUNC_NA,TRAN_NA,undefined,Receive Coupon,Receive Coupon - Android
4,Employee->Check GPS->Geo fence->Coupon Notification Popup Window,FUNC_NA,CTRL|EXTCLL|INT,undefined,Receive Coupon,Receive Coupon - Android
5,Employee->Check GPS->GPS not work page,FUNC_NA,CTRL|EXTCLL|INT,undefined,Receive Coupon,Receive Coupon - Android
6,Employee->check internet->Coupon Notification Popup Window,FUNC_NA,CTRL|EXTCLL|INT,undefined,Receive Coupon,Receive Coupon - Android
7,Employee->check internet->Geo fence->Coupon Notification Popup Window,FUNC_NA,CTRL|EXTCLL|INT,undefined,Receive Coupon,Receive Coupon - Android
8,Employee->check internet->Fail to connect internet page,FUNC_NA,CTRL|EXTCLL|INT,undefined,Receive Coupon,Receive Coupon - Android
9,Ad server->Coupon Retrieve Page->Retrieve specific partner's coupon information->Server Partner - coupon database,EI,CTRL|DM|EI,undefined,Receive Coupon,Receive Coupon - Android
10,Ad server->Coupon Retrieve Page->Retrieve specific partner's coupon information->Coupon Notification Popup Window,EQ,CTRL|INT,undefined,Receive Coupon,Receive Coupon - Android
