id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Fail to connect internet page,boundary,0,1,Receive Coupon,Receive Coupon - Android,
2,Coupon Retrieve Page,boundary,1,1,Receive Coupon,Receive Coupon - Android,
3,Ad server,actor,1,0,Receive Coupon,Receive Coupon - Android,
4,Server Partner - coupon database,entity,0,1,Receive Coupon,Receive Coupon - Android,
5,Retrieve specific partner's coupon information,control,2,1,Receive Coupon,Receive Coupon - Android,
6,Local coupon database,entity,0,1,Receive Coupon,Receive Coupon - Android,
7,Save it later,control,1,1,Receive Coupon,Receive Coupon - Android,
8,Cancel,control,0,1,Receive Coupon,Receive Coupon - Android,
9,Geo fence,control,3,3,Receive Coupon,Receive Coupon - Android,
10,check internet,control,3,1,Receive Coupon,Receive Coupon - Android,
11,Redeem,control,0,1,Receive Coupon,Receive Coupon - Android,
12,Coupon Notification Popup Window,boundary,3,4,Receive Coupon,Receive Coupon - Android,
13,Check GPS,control,2,1,Receive Coupon,Receive Coupon - Android,
14,Employee,actor,3,0,Receive Coupon,Receive Coupon - Android,
15,GPS not work page,boundary,0,1,Receive Coupon,Receive Coupon - Android,
