id,path,functional,transactional,path_length,diagram,useCase
1,User->Sign-in form->send email for verification->Email protocol,FUNC_NA,CTRL|EXTIVK,undefined,Create Profile,Create Profile
2,User->Sign-in form->send email for verification->check validity of input information->Invalid email format,EQ,CTRL|INT,undefined,Create Profile,Create Profile
3,User->Sign-in form->send email for verification->check validity of input information->save entered user information->User Info,EI,CTRL|DM|EI,undefined,Create Profile,Create Profile
4,User->Sign-in form->send email for verification->check validity of input information->Not consistent passwords,EQ,CTRL|INT,undefined,Create Profile,Create Profile
5,User->Not consistent passwords->redirect to sign in page->Sign-in form,EQ,CTRL|INT,undefined,Create Profile,Create Profile
6,User->Invalid email format->redirect to sign in page->Sign-in form,EQ,CTRL|INT,undefined,Create Profile,Create Profile
7,User->LikedIn Credential Input Page->Query user information from LinkedIN->Invalid/incorrect LinkedIn credentials,EQ,CTRL|INT,undefined,Create Profile,Create Profile
8,User->LikedIn Credential Input Page->Query user information from LinkedIN->display login failure message with LinkIn->Login error,EQ,CTRL|INT,undefined,Create Profile,Create Profile
9,User->LikedIn Credential Input Page->Query user information from LinkedIN->save it to user info->User Info,EI,CTRL|DM|EI,undefined,Create Profile,Create Profile
10,User->LikedIn Credential Input Page->Query user information from LinkedIN->save it to user info->display information from LinkedIN->My Profile,EQ,CTRL|INT,undefined,Create Profile,Create Profile
11,User->LikedIn Button->open linkedin crendential input page->LikedIn Credential Input Page,EQ,CTRL|INT,undefined,Create Profile,Create Profile
12,User->Login error->redirect to sign in page->Sign-in form,EQ,CTRL|INT,undefined,Create Profile,Create Profile
13,User->Invalid/incorrect LinkedIn credentials->redirect to sign in page->Sign-in form,EQ,CTRL|INT,undefined,Create Profile,Create Profile
