id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,activation success message,boundary,0,2,Activate user,Activate user,
2,activtate the user,control,2,1,Activate user,Activate user,
3,user is already activated error,boundary,0,2,Activate user,Activate user,
4,User,entity,0,2,Activate user,Activate user,
5,check the status of user,control,3,1,Activate user,Activate user,
6,role,entity,0,1,Activate user,Activate user,
7,user management page,boundary,1,2,Activate user,Activate user,
8,unauthorized error message,boundary,0,2,Activate user,Activate user,
9,validate role of user,control,3,1,Activate user,Activate user,
10,User management button,boundary,1,1,Activate user,Activate user,
11,Administrator,actor,8,0,Activate user,Activate user,
