id,element,useCase,type,component
1,User:initial page,delete system user,boundary,addnewcoursepage
2,User:the user cannot be delete error message,delete system user,boundary,deletionsuccessmessage
3,User:deletion confirmation dialog,delete system user,boundary,deletionsuccessmessage
4,User:delete user,delete system user,entity,udpateuserprofile
5,delete user:requests confirmation for deletion the user,delete system user,boundary,deletionsuccessmessage
6,delete user from database:user info,delete system user,entity,udpateuserprofile
7,delete user from database:redirect to initial page,delete system user,control,incorrectinput
8,delete user from database:the user cannot be delete error message,delete system user,boundary,deletionsuccessmessage
9,deletion confirmation dialog:delete user from database,delete system user,entity,udpateuserprofile
10,requests confirmation for deletion the user:deletion confirmation dialog,delete system user,boundary,deletionsuccessmessage
11,redirect to initial page:initial page,delete system user,boundary,addnewcoursepage
12,redirect to initial page:user info,delete system user,entity,udpateuserprofile
13,stl#User:initial page,delete system user,Stimulus,undefined
14,stl#User:the user cannot be delete error message,delete system user,Stimulus,undefined
15,stl#User:deletion confirmation dialog,delete system user,Stimulus,undefined
16,stl#User:delete user,delete system user,Stimulus,undefined
