Usecase, avg_degree, avg_path_length, architectural_diff, num_path, num_interface_operation, number_data_operation, number_control, number_partial_matched
Admin Login,1.1875,5.366666666666666,6.372916666666666,30,11,7,0,12
Bill partner for redemption transaction,1.3888888888888888,6.333333333333333,8.796296296296296,24,12,2,0,10
Delete Partner Account,1.1538461538461537,4.923076923076923,5.680473372781065,13,5,1,0,7
Notify Partner of Redemption,1.2380952380952381,7.9393939393939394,9.829725829725831,33,14,2,0,17
Reactive Partner Account,1.375,4.857142857142857,6.678571428571428,7,1,4,0,2
Resolve Dispute,1.1666666666666667,6.203703703703703,7.237654320987654,54,22,6,0,26
Suspend Partner Account Storyboard,1.5333333333333334,4.378378378378378,6.713513513513513,37,4,6,0,27
Validate Redemption Password,1.0588235294117647,5.25,5.5588235294117645,8,1,0,0,7
View Partner Billing status storyboard,1.1818181818181819,5.111111111111111,6.040404040404041,9,4,5,0,0
View Transaction Log,1.25,4.461538461538462,5.576923076923077,13,6,6,0,1
View redemption statistics for partner storyboard,1.3125,6.45945945945946,8.47804054054054,37,15,10,0,12
Connect to trip plan,1,4.714285714285714,4.714285714285714,7,2,0,0,5
Login to tripplanner,1.1379310344827587,8.6,9.786206896551723,15,12,2,0,1
Receive Coupon,1.0869565217391304,4.580645161290323,4.978962131837307,31,3,2,2,24
Redeem Coupon,1.2142857142857142,4.285714285714286,5.204081632653061,7,4,1,0,2
Save it for later,1.2,7.2,8.64,5,4,1,0,0
View stored coupons,1.1666666666666667,4.888888888888889,5.703703703703704,9,4,2,0,3
Connect to trip plan,0.8888888888888888,4.2,3.7333333333333334,5,2,0,0,3
Login to tripplanner,1.1785714285714286,9.142857142857142,10.775510204081632,14,12,2,0,0
Receive Coupon,1.1333333333333333,4.5,5.1,18,3,2,0,13
Redeem Coupon,1.0769230769230769,4.2,4.523076923076923,5,4,0,0,1
Save it for lateer,1,6.333333333333333,6.333333333333333,3,2,1,0,0
View stored coupons,1.1,4.166666666666667,4.583333333333334,6,2,1,0,3
Buy Partner Subscription,1.1818181818181819,7.5,8.863636363636363,4,2,1,0,1
Cancel Partner Subscription,1.1,5,5.5,7,4,1,0,2
Contact us,1.2105263157894737,6.136363636363637,7.428229665071771,22,14,4,1,3
Create Account,1.2777777777777777,10.857142857142858,13.873015873015873,14,7,7,0,0
Create Offer,1.4285714285714286,9.560975609756097,13.658536585365853,41,19,4,2,16
Design Coupon,0.9230769230769231,3.4285714285714284,3.1648351648351647,7,1,2,1,3
Modify Offer,0.875,5.333333333333333,4.666666666666666,3,3,0,0,0
Partner Login,1.0909090909090908,6.615384615384615,7.216783216783216,13,0,6,0,7
Publish Offer,1,4.222222222222222,4.222222222222222,9,2,0,0,7
Specify default payment method use case,1.3181818181818181,10.472222222222221,13.804292929292927,36,8,24,0,4
Test Coupon,1.0833333333333333,4.2,4.55,5,0,4,0,1
Upload Image,1.25,3,3.75,6,3,0,0,3
View Bill,1.0555555555555556,7,7.388888888888889,7,4,3,0,0
Annotate trip plan,1.3888888888888888,8.958333333333334,12.44212962962963,24,23,1,0,0
Connect to trip plan,1.3333333333333333,7.6875,10.25,16,12,2,0,2
Find  add  and delete places,1.64,8.592,14.09088,125,93,17,0,15
Login to TripPlanner,1,6.666666666666667,6.666666666666667,6,2,1,0,3
Manage Trip Plan,1.1666666666666667,5.2,6.066666666666667,20,19,1,0,0
Manage subscription,1.1666666666666667,5.3,6.183333333333334,10,9,1,0,0
Print photo books,1.6,6.338235294117647,10.141176470588235,68,51,15,0,2
Schedule visit and view trip calendar,1.1,4.6,5.06,10,4,2,0,4
Subscribe and unsubscribe from partner offer,1.25,5.2,6.5,15,8,7,0,0
View Trip Plan on Map and get Directions,1,5.833333333333333,5.833333333333333,6,3,2,0,1
View partner offer,1.125,6.142857142857143,6.9107142857142865,7,6,1,0,0
