NUM,PROJ,Effort,Effort_ALY,Effort_Norm,Norm_Factor,KSLOC,UEUCW,UEUCW_ALY,UEXUCW,UEXUCW_ALY,UDUCW,UDUCW_ALY,UAW,UAW_ALY,TCF,TCF_ALY,EF,EF_ALY,EUCP,EUCP_ALY,EXUCP,EXUCP_ALY,DUCP_ALY,Effort_Norm_UCP,Path_Num,UseCase_Num,Diagram_Num,INT,INT_ALY,DM,DM_ALY,CTRL,CTRL_ALY,EXTIVK,EXTIVK_ALY,EXTCLL,EXTCLL_ALY,NT,NT_ALY,NWT_ALY,NWT_DE_ALY,DET,RET,ILF,EIF,Project_Type,Type
1,f14a_cash_doctor,724,0,1146.36,0.9,2.95,undefined,150,undefined,128,undefined,111,9,undefined,0.9,0,1.025,0,undefined,146.68,undefined,126.38,110.7,652.02,34,10,12,19,20,13,13,32,34,0,1,0,0,32,34,238,238,0,2,0,0,Mobile App,1
2,f14a_gotrla,482,0,567.91,1.41,6.569,undefined,150,undefined,215,undefined,223,9,undefined,0.835,0,0.995,0,undefined,132.1,undefined,186.1,192.75,681.71,61,10,12,27,31,27,29,59,61,5,1,0,0,59,61,515,523,0,2,0,0,Mobile App,1
3,F14a_sharethetraining_com,571,0,781.79,1.19,8.116,undefined,195,undefined,189,undefined,159,9,undefined,0.88,0,1.04,0,undefined,186.7,undefined,181.21,153.75,681.05,52,13,16,30,31,17,16,54,51,5,4,2,2,54,51,334,330,0,3,0,0,web App,2
4,F14a_tipsure_com,266,0,734.24,1.48,0.73,undefined,120,undefined,172,undefined,199,9,undefined,0.855,0,1.025,0,undefined,113.05,undefined,158.62,182.29,393.63,55,8,10,24,22,26,30,51,53,1,1,0,0,51,53,556,556,0,2,0,0,web App,2
5,F14a_women_at_work_website_redesign,140.5,0,415.83,1.71,3.2,undefined,120,undefined,99,undefined,90,12,undefined,0.855,0,1.025,0,undefined,115.68,undefined,97.28,89.39,240.63,30,8,10,13,13,10,11,30,30,6,6,1,0,30,30,198,206,0,2,0,0,Web App,2
6,F15a_combat_conflict,1281,0,1064.7,0.89,7.593,undefined,105,undefined,81,undefined,70,6,undefined,0.795,0,0.92,0,undefined,81.19,undefined,63.63,55.59,1141.9,21,7,7,16,13,10,8,26,21,0,0,0,0,26,21,144,144,0,0,0,0,Web App,2
7,F15a_construction_meeting_minutes_application,1482.5,0,2837.8,1.38,1.386,undefined,270,undefined,310,undefined,277,6,undefined,0.925,0,0.95,0,undefined,242.53,undefined,277.69,248.69,2045.26,89,18,20,45,44,44,45,89,89,0,0,0,0,89,89,613,616,0,2,0,0,Mobile App,1
8,F15a_nice_ecommerse,617,0,474.82,0.94,5.129,undefined,360,undefined,258,undefined,223,9,undefined,0.805,0,1.025,0,undefined,304.47,undefined,220.31,191.43,579.54,75,24,26,42,37,31,33,79,75,5,5,1,3,79,75,509,513,0,2,0,0,Web App,2
9,F15a_tour_conductor,1347,0,3279.96,1.88,3.679,undefined,120,undefined,90,undefined,81,9,undefined,0.885,0,0.89,0,undefined,101.61,undefined,77.98,70.89,2529,27,8,10,15,14,13,10,29,24,0,0,0,0,29,24,216,220,0,2,0,0,Web App,2
10,s15b_snap_valet,302.5,0,618.1,1.89,0.552,undefined,165,undefined,320,undefined,314,9,undefined,0.925,0,0.965,0,undefined,155.32,undefined,293.67,288.32,572.18,79,11,13,56,55,21,21,82,79,3,3,1,2,82,79,694,700,0,2,0,0,Mobile App,1
