NUM,PROJ,Effort,Effort_ALY,Effort_Norm,Norm_Factor,KSLOC,UEUCW,UEUCW_ALY,UEXUCW,UEXUCW_ALY,UDUCW,UDUCW_ALY,UAW,UAW_ALY,TCF,TCF_ALY,EF,EF_ALY,EUCP,EUCP_ALY,EXUCP,EXUCP_ALY,DUCP_ALY,Effort_Norm_UCP,Path_Num,UseCase_Num,Diagram_Num,INT,INT_ALY,DM,DM_ALY,CTRL,CTRL_ALY,EXTIVK,EXTIVK_ALY,EXTCLL,EXTCLL_ALY,NT,NT_ALY,NWT_ALY,NWT_DE_ALY,DET,RET,ILF,EIF,Project_Type,Type
11,S15b_we_are_trojans_network,1965,0,4531.59,1.25,6.415,undefined,135,undefined,298,undefined,343,9,undefined,0.935,0,0.935,0,undefined,125.89,undefined,268.39,307.73,2447.93,80,9,12,34,46,21,34,55,80,0,0,0,0,55,80,846,938,0,3,0,0,Web App,2
12,S16b_flower_seeker,804.5,0,541.36,0.68,7.365,undefined,240,undefined,177,undefined,138,9,undefined,0.89,0,1.025,0,undefined,227.15,undefined,169.68,134.1,549.82,49,16,19,30,29,18,18,51,48,1,1,2,2,51,48,250,244,0,3,0,0,Web App,2
13,F14a_mobile_application_for_mobile_controlled_lighting,257.5,0,1012.18,1.8,1.5,undefined,75,undefined,58,undefined,47,6,undefined,0.925,0,1.04,0,undefined,77.92,undefined,61.57,50.99,464.25,19,5,5,0,8,0,9,0,17,0,0,0,0,undefined,17,118,116,0,0,0,0,Mobile App,1
14,F14a_REFERsy,263,0,462.32,1.12,7.25,undefined,150,undefined,126,undefined,99,11,undefined,0.925,0,0.995,0,undefined,148.18,undefined,126.09,101.24,294.61,36,10,12,18,22,9,9,32,36,5,5,4,4,32,36,198,190,0,2,0,0,Web App,2
15,s17_tikiman_go,737,0,739.72,1.07,3.12,undefined,420,undefined,42,undefined,29,3,undefined,1.175,0,1.31,0,undefined,651.1,undefined,69.27,49.26,787.06,56,28,33,0,2,0,16,0,18,0,0,0,0,undefined,18,320,298,0,4,0,0,Mobile Game,3
16,s16_bad_driver,1392,0,881.82,0.67,4.71,undefined,180,undefined,48,undefined,56,12,undefined,1.135,0,1.25,0,undefined,272.4,undefined,85.13,96.48,931.84,50,12,12,0,4,0,14,0,18,0,0,0,0,undefined,18,526,570,0,0,0,0,Mobile&Web App,4
17,s16b_Picshare_AA,1592,0,2993.78,1.03,8.209,undefined,360,undefined,193,undefined,160,6,undefined,0.94,0,0.875,0,undefined,301.03,undefined,163.68,136.53,1645.54,54,24,24,0,29,0,24,0,53,0,1,0,0,undefined,53,324,326,0,0,0,0,Mobile&Web App,4
18,s14b_location_based_ad,3680,0,2392.85,0.89,21.344,undefined,705,undefined,701,undefined,777,14,undefined,1.12,0,1.325,0,undefined,1067,undefined,1061.06,1173.84,3264.97,246,47,47,0,119,0,57,0,168,0,2,0,11,undefined,168,2332,2435,0,0,0,0,Mobile&Web App,4
19,F14a_soccer_data_web_crawler,268.5,0,206.55,0.72,2.258,undefined,120,undefined,109,undefined,101,6,undefined,0.915,0,1.025,0,undefined,118.17,undefined,107.86,100.35,194.09,32,8,10,undefined,15,undefined,17,undefined,32,undefined,0,undefined,0,undefined,32,272,272,0,2,0,0,Web App,2
20,s16b_Picshare_RA,3113,0,5850.41,1.03,8.059,undefined,360,undefined,248,undefined,337,8,undefined,0.94,0,0.89,0,undefined,307.87,undefined,214.17,288.63,3216.99,106,24,24,undefined,36,undefined,49,undefined,70,undefined,0,undefined,3,undefined,70,1208,1301,0,0,0,0,Mobile&Web App,4
