id,attribute,type,element
1,desired_level,EAJava_int,Desire
2,language_id,EAJava_int,Desire
3,user_id,EAJava_int,Desire
4,language_abbreviation,EAJava_char,Language
5,language_id,EAJava_int,Language
6,language_name,EAJava_char,Language
7,undefined,EAID_F72D7237_3DF6_4591_AC09_443678ACCDA4,Language
8,undefined,EAID_9BAAEA17_F46B_4acd_8AD6_6A9D0EFC811B,Language
9,date,EAJava_long,Message
10,delete_receiver,EAJava_int,Message
11,delete_sender,EAJava_int,Message
12,message_body,EAJava_char,Message
13,message_id,EAJava_int,Message
14,receiver_name,EAJava_char,Message
15,sender_name,EAJava_char,Message
16,status,EAJava_int,Message
17,undefined,EAID_A7E9A450_0D8D_4546_B646_DC656FD8E1DC,Message
18,language_id,EAJava_int,Skill
19,skill_level,EAJava_int,Skill
20,user_id,EAJava_int,Skill
21,email,EAJava_char,User
22,password,EAJava_int,User
23,user_id,EAJava_int,User
24,user_name,EAJava_char,User
25,undefined,EAID_A7E9A450_0D8D_4546_B646_DC656FD8E1DC,User
26,undefined,EAID_9BAAEA17_F46B_4acd_8AD6_6A9D0EFC811B,User
27,undefined,EAID_9EFA3F7B_9F7D_4a1d_ADAF_B05906822B01,User
28,undefined,EAID_F72D7237_3DF6_4591_AC09_443678ACCDA4,User
