id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Not in Hawaii Mode,boundary,0,2,Render Mode,Determine AR/ VR mode,
2,AR mode,boundary,0,2,Render Mode,Determine AR/ VR mode,
3,Render Mode,control,0,1,Render Mode,Determine AR/ VR mode,
4,Check If In hawaii,control,4,0,Render Mode,Determine AR/ VR mode,
5,Location,entity,0,1,Render Mode,Determine AR/ VR mode,
6,User,actor,2,0,Render Mode,Determine AR/ VR mode,
