id,path,useCase,transactional,tran_length,arch_diff
1,stl#User:Cancel Button->User:Cancel Button,Upload Image,CTRL,2,2
2,stl#User:Cancel Button->User:Cancel Button,Upload Image,EXTCLL,2,2
3,stl#User:Cancel Button->User:Cancel Button,Upload Image,INT,2,2
4,stl#User:Upload Image button->User:Upload Image button->Upload Image button:File Chooser Windows->File Chooser Windows:Select the Image file,Upload Image,CTRL,4,4
5,stl#User:Upload Image button->User:Upload Image button->Upload Image button:File Chooser Windows->File Chooser Windows:Cancel Button,Upload Image,CTRL,4,4
6,stl#User:Upload Image button->User:Upload Image button->Upload Image button:File Chooser Windows->File Chooser Windows:Cancel Button,Upload Image,EXTCLL,4,4
7,stl#User:Upload Image button->User:Upload Image button->Upload Image button:File Chooser Windows->File Chooser Windows:Cancel Button,Upload Image,INT,4,4
8,stl#User:Design Coupon screen->User:Design Coupon screen,Upload Image,CTRL,2,2
9,stl#User:Design Coupon screen->User:Design Coupon screen,Upload Image,EXTCLL,2,2
10,stl#User:Design Coupon screen->User:Design Coupon screen,Upload Image,INT,2,2
11,stl#User:Open Button->User:Open Button->Open Button:Display Image in Coupon Image->Display Image in Coupon Image:Design Coupon screen,Upload Image,TRAN_NA,4,4
12,stl#User:Select the Image file->User:Select the Image file,Upload Image,CTRL,2,2
