id,attribute,type,element
1,ID,EAJava_int,Owner
2,Name,EAJava_char,Owner
3,undefined,EAID_38E4D67A_44D5_4560_9A85_42EC55EDD285,Owner
4,Description,EAJava_char,Stop
5,GeoCoordX,EAJava_float,Stop
6,GeoCoordY,EAJava_float,Stop
7,Name,EAJava_char,Stop
8,OtherInfo,EAJava_char,Stop
9,StopID,EAJava_int,Stop
10,Tags,EAJava_char,Stop
11,TourID,EAJava_int,Stop
12,URL,EAJava_char,Stop
13,TourCreatorId,EAJava_int,Tour
14,TourId,EAJava_int,Tour
15,TourTags,EAJava_char,Tour
16,undefined,EAID_BE22AB7B_FDA1_4922_9FD2_FBC153E75511,Tour
17,CreatorID,EAJava_int,TourCreator
18,DateofJoin,EAJava_date,TourCreator
19,Name,EAJava_char,TourCreator
20,OwnerID,EAJava_int,TourCreator
21,undefined,EAID_1DEE7CF3_6792_4fde_B1D2_AF8528919280,TourCreator
