id,element,useCase,type,outboundDegree,inboundDegree
1,User:user list filter box,Browse Users,0,undefined,undefined
2,User:Filtered List of Users,Browse Users,0,undefined,undefined
3,User:Query Users List Button,Browse Users,0,undefined,undefined
4,Filter users:Filtered List of Users,Browse Users,0,undefined,undefined
5,user list filter box:Filter users,Browse Users,0,undefined,undefined
6,Query Users List Button:query user list,Browse Users,0,undefined,undefined
7,query user list:User,Browse Users,0,undefined,undefined
8,query user list:user list filter box,Browse Users,0,undefined,undefined
9,stl#User:user list filter box,Browse Users,0,undefined,undefined
10,stl#User:Filtered List of Users,Browse Users,0,undefined,undefined
11,stl#User:Query Users List Button,Browse Users,0,undefined,undefined
