,mmre,rank1,pred25,rank2,mdmre,rank3,mae,rank4,rank*
SWTIII,0.83,1,0.16,3,0.86,2,12697.98,2,1
IFPUG,1.01,5,0.18,2,0.61,1,12679.56,1,2
LOG_SLOC,0.91,2,0.03,6,0.97,5,14478.36,3,3
SWTI,0.98,3,0.11,4,0.93,3,16671.59,6,3
COSMIC,1.45,6,0.19,1,1.18,6,15301.35,4,5
SWTII,0.98,4,0.11,4,0.93,4,16679.12,7,6
SLOC,1.65,7,0.03,6,1.83,7,16568.34,5,7
UCP,1.8,8,0,8,1.84,8,18008.25,8,8
,,,,,,,,,
,,,,,,,,,
,25.5,,,,,,,,
