,model1,model2,metric,direction,model1_mean,model2_mean,p_value,BH_p_value,bonferroni_p_value,cohen_d
32,IFPUG,SWTII,pred25,+,0.14,0.1,0.04,0.35,1,0.32
43,IFPUG,SWTI,pred25,+,0.14,0.1,0.04,0.35,1,0.32
3,SWTII,UCP,mmre,+,0.9,1.73,0.04,0.35,1,-1.54
14,SWTI,UCP,mmre,+,0.9,1.73,0.04,0.35,1,-1.54
39,COSMIC,SWTIII,pred25,+,0.16,0.14,0.04,0.35,1,0.15
38,IFPUG,SWTIII,pred25,+,0.14,0.14,0.04,0.35,1,0.01
9,SWTIII,UCP,mmre,+,0.86,1.73,0.04,0.35,1,-1.71
6,SWTII,SLOC,mmre,+,0.9,1.64,0.05,0.35,1,-1.43
33,COSMIC,SWTII,pred25,+,0.16,0.1,0.05,0.35,1,0.46
44,COSMIC,SWTI,pred25,+,0.16,0.1,0.05,0.35,1,0.46
17,SWTI,SLOC,mmre,+,0.9,1.64,0.05,0.35,1,-1.43
