Project,IFPUG,COSMIC,Tran_Num,UseCase_Num,LOG_SLOC,SLOC,SLOC1,KSLOC,, UUCP,SWTIII,Log_Effort,Effort,Effort1,Effort2,Component_Num,Precedence_Num,Stimulus_Num,Response_Num,Tran_Num,UseCase_Num,Activity_Num,Actor_Num,Boundary_Num,ControlNum,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD,Arch_Diff,DET,RET,ILF,EIF,EI,EO,EQ,FN,IFPUG,NI,NE,MKII,EXT,ERY,RED,WRT,COSMIC,COSMIC,UAW,TCF,EF,Simple_UC,Average_UC,Complex_UC, UUCP, UCP,NOET,NOAAE,NORT,NEM,NSR,NOS,WMC,MPC,DIT,NIVPC,NUMS,NCI,NCIF,RR,NTLC,NOCPBC,NT,NOA,NOUC,NOR,ANAPUC,ANRPUC,NOC,NOIR,NOUR,NORR,NOM,NOP,NOCA,NOASSOC,ANMC,ANPC,ANCAC,ANASSOCC,ANRELC,NOAPC,NODET,NORET,NOMPC,NPPM,NMT,transaction_file,Duration,Personnel,PublishTime,StartTime,ActivePersonnel,Type,Commits,Files,Blanks,Comments,SLOC,Screens,UI Elements,Input Elements,Output Elements,Operations, Services, Activities, BroadcastReceivers, ContentProviders, LayoutFiles, Views, Screens, EventHandlers
Keyguard_S1W1L1_2019-4-16@1558026654419,90,7,7,3,7.258101697,1419.559224,19232,19.232,1,25,7.445884422,7.55686671,1923,1923,1923,8,7,7,7,7,3,7,1,1,7,0,0,0,3,0,3,0,3,0,3,2,7,14,1123,12,68,0,0,0,22,7,90,7,7,17.76,2.31,4.69,0,0,7,7,2,1,1,1,2,0,25,25,8,1123,7055,957,0,3,87.79238754,7.034602076,1.189300412,1.024221453,0,46,22,349,243,0.209876543,7,1,3,1,1.333333333,1.333333333,289,53,349,39,2033,1922,1123,6614,7.034602076,0.945400885,3.885813149,22.88581315,24.41176471,3.885813149,1112,241,7.034602076,0.945400885,2033,d:/AndroidAnalysis/GatorAnalysisResults_rufus/Keyguard_S1W1L1_2019-4-16@1558026654419_analysis/filteredTransactionEvaluation.csv,,,,,,,,,,,19232,,,,,,2,6,6,1,41,172,2,32
leafpic_S1W1L1_2019-4-28@1559051230049,132,168.3,1,12,7.598981469,1996.161707,3308,3.308,1,70,1.063697775,8.466636698,4779,4779,4779,8,1,1,1,1,12,1,1,1,7,0,0,0,1,0,1,0,1,0,1,2,1,2,1622,8,58,5,0,0,69,72,132,1,1,114.3,32.33,21.67,0,0,168.3,168.3,2,1,1,6,6,0,92,192,8,5372,4803,1450,2850,9,64.66949153,4.902542373,1.152380952,0.802966102,2850,52,24,441,420,0.15952381,1,1,12,1,1.111111111,10,472,62,441,57,2314,2521,5372,4243,4.902542373,1.089455488,11.38135593,8.98940678,10.17584746,11.38135593,5371,388,4.902542373,1.089455488,2314,d:/AndroidAnalysis/GatorAnalysisResults4/S1W1L1_5_29/leafpic_S1W1L1_2019-4-28@1559051230049_analysis/filteredTransactionEvaluation.csv,900,16,42499,42376,10,Editors/photos/social,Entertainment,1355,271,4070,3308,25858,59,232,0,0,81,0,0,0,0,160,0,0
LockScreenApp_S1W1L1_2019-4-16@1558026676549,89,70,35,6,7.025510664,1124.968893,8360,8.36,1,50,56.42277185,7.245347344,1408,1408,1408,11,93,35,35,35,6,93,1,6,4,1,0,0,15,0,15,0,15,7,15,6.8,68.86666667,468.2933333,1240,17,27,15,0,0,47,35,89,35,35,81.26,22.11,44.89,2.01,0.99,70,70,2,1,1,3,2,1,50,50,11,1240,2541,295,220,6,60,4.632653061,1.076923077,1.030612245,220,7,6,108,91,0.076923077,35,1,6,1,1.166666667,1.166666667,98,7,108,7,454,357,1240,2419,4.632653061,0.786343612,12.65306122,24.68367347,25.92857143,12.65306122,1089,66,4.632653061,0.786343612,454,d:/AndroidAnalysis/GatorAnalysisResults_rufus/LockScreenApp_S1W1L1_2019-4-16@1558026676549_analysis/filteredTransactionEvaluation.csv,,,,,,,,,,,8360,,,,,,9,14,16,2,47,0,0,0
manglish_S1W1L1_2019-6-12@1562926484676,62,35.28,1,10,7.201003831,1340.776002,18164,18.164,1,75,1.063697775,7.085599585,1200,1200,1200,4,1,1,1,1,10,1,2,1,1,2,0,0,1,0,1,0,1,0,1,2,1,2,1266,8,59,0,0,0,3,1,62,1,1,13.28,8.33,13.67,0,0,35.28,35.28,4,1,1,5,4,1,84,179,4,2859,159,55,23,5,27.74193548,2.258064516,1.103448276,0.322580645,23,2,3,13,29,0.103448276,1,2,10,2,1.4,3.5,31,3,13,3,70,61,2859,140,2.258064516,0.871428571,92.22580645,4.516129032,5.129032258,92.22580645,2854,26,2.258064516,0.871428571,70,d:/AndroidAnalysis/GatorAnalysisResults5/manglish_S1W1L1_2019-6-12@1562926484676_analysis/filteredTransactionEvaluation.csv,36,2,43617,43597,0,Reading,Productivity,54,321,2392,18164,31721,50,168,0,0,87,9,5,5,2,106,9,1
materialistic_S1W1L1_2019-4-28@1559051254190,126,61,6,10,7.31276567,1499.318079,6757,6.757,1,75,33.70087618,7.750869548,2335,2335,2335,10,127,6,5,6,10,127,2,3,7,0,0,0,2,0,2,0,2,4,2,66.5,1493.5,99317.75,3109,8,59,0,0,0,67,21,126,6,6,16.04,20.13,40.87,0,0,61,61,4,1,1,5,4,1,84,179,10,4580,5568,2159,9653,10,62.54308943,4.808130081,1.290650407,0.798373984,9653,123,50,603,492,0.363821138,6,1,10,1,1.1,11,615,136,603,123,2957,3277,4580,4706,4.808130081,1.108217788,7.447154472,7.65203252,9.053658537,7.447154472,4545,513,4.808130081,1.108217788,2957,d:/AndroidAnalysis/GatorAnalysisResults4/S1W1L1_5_29/materialistic_S1W1L1_2019-4-28@1559051254190_analysis/filteredTransactionEvaluation.csv,1328,2,42466,42026,11,news/magazines,Tools,1716,433,6723,6757,98046,50,168,0,0,87,9,35,8,6,210,349,2113
Mindorks_S1W1L1_2019-4-28@1559050892966,113,40.92,1,10,7.334181383,1531.773331,2538,2.538,1,55,1.063697775,9.432232777,12559,559,559,18,1,1,1,1,10,1,1,1,16,1,0,0,1,0,1,0,1,0,1,2,1,2,777,7,52,0,0,0,61,73,113,1,1,16.92,22.33,1.67,0,0,40.92,40.92,2,1,1,9,1,0,55,57,18,2731,2013,1072,4561,11,66.5984252,5.177165354,1.22,0.602362205,4561,54,14,228,200,0.325,1,2,10,2,1.181818182,6.5,254,75,228,67,1315,1102,2731,1643,5.177165354,0.838022814,10.7519685,6.468503937,7.92519685,10.7519685,2719,197,5.177165354,0.838022814,1315,d:/AndroidAnalysis/GatorAnalysisResults4/S1W1L1_5_29/Mindorks_S1W1L1_2019-4-28@1559050892966_analysis/filteredTransactionEvaluation.csv,635,3,43699,42762,1,Health&Fitness,Tools,159,159,1850,2538,6805,19,57,0,0,20,9,11,6,3,105,38,4
music_S1W1L1_2019-4-16@1558026688453,83,3,2,8,7.3674185,1583.540592,52801,52.801,1,70,7.61120976,7.938056815,2816,2816,2816,11,13,2,2,2,8,13,1,1,8,2,0,0,0,0,0,0,0,2,0,0,0,0,268,10,73,0,0,0,10,2,83,2,1,5.68,0.66,2.34,0,0,3,3,2,1,1,3,2,3,82,130,11,268,238,90,75,13,44.10810811,3.540540541,1,0.432432432,75,0,0,16,37,0,2,1,8,1,1.076923077,1.076923077,37,0,16,0,131,126,268,222,3.540540541,0.961832061,7.243243243,6,6.432432432,7.243243243,258,31,3.540540541,0.961832061,131,d:/AndroidAnalysis/GatorAnalysisResults_rufus/music_S1W1L1_2019-4-16@1558026688453_analysis/filteredTransactionEvaluation.csv,,,,,,,,,,,52801,,,,,,2,3,3,2,9,0,0,0
muzei_S1W1L1_2019-4-28@1559051308379,110,77.14,0,8,7.083449518,1192.073513,8859,8.859,1,65,0,9.49229941,13337,21737,37,4,0,0,0,0,8,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111.04,13.1,121,132,0,266.1,77.14,2,1,1,5,1,2,65,67,4,4766,136,27,0,4,13.65853659,1.12195122,1,0,0,0,0,0,41,0,0,2,8,2,1.5,3,41,0,0,0,46,0,4766,136,1.12195122,0,116.2439024,3.317073171,3.317073171,116.2439024,4766,37,1.12195122,0,46,d:/AndroidAnalysis/GatorAnalysisResults4/S1W1L1_5_29/muzei_S1W1L1_2019-4-28@1559051308379_analysis/filteredTransactionEvaluation.csv,1900,22,41677,41676,16,tool/system,Tools,1983,327,4749,8859,36836,18,44,0,0,32,0,0,0,0,125,0,0
NewPipe_S1W1L1_2019-4-28@1559051314726,160,240,16,16,7.284639731,1457.735861,8025,8.025,1,60,47.72391813,9.448883386,12770,40770,12770,7,70,16,16,16,16,70,2,1,6,0,0,0,6,0,6,0,6,1,6,6.833333333,146.3333333,999.9444444,4116,11,83,0,0,0,77,16,160,16,16,37.66,113.2,126.8,0,0,240,240,4,1,1,9,6,1,120,124,7,7482,13153,4527,9860,19,78.89468599,5.957487923,1.273076923,0.842512077,9860,255,50,1135,780,0.366666667,16,2,16,2,1.105263158,10.5,1035,263,1135,221,6166,6702,7482,11534,5.957487923,1.086928317,7.228985507,11.14396135,12.70821256,7.228985507,7336,882,5.957487923,1.086928317,6166,d:/AndroidAnalysis/GatorAnalysisResults4/S1W1L1_5_29/NewPipe_S1W1L1_2019-4-28@1559051314726_analysis/filteredTransactionEvaluation.csv,1285,306,42262,42251,30,Search/Videos/Entertainment,Tools,4371,460,10184,8025,50311,21,64,52,12,57,24,26,11,2,200,333,143
NewPipe_S1W1L1_2019-5-15@1560625183900,146,240,16,16,7.31426503,1501.567783,30357,30.357,1,60,63.47809946,9.12488177,9234,49234,3234,7,70,16,16,16,16,70,2,1,6,0,0,0,6,0,6,0,6,1,6,6.833333333,146.3333333,999.9444444,2265,13,94,0,0,0,52,8,146,16,16,37.66,113.2,126.8,0,0,240,240,4,1,1,9,6,1,120,124,7,7482,13153,4527,9860,5,78.89468599,5.957487923,1.273076923,0.842512077,9860,255,50,1135,780,0.366666667,16,2,16,2,1.4,3.5,1035,263,1135,221,6166,6702,7482,11534,5.957487923,1.086928317,7.228985507,11.14396135,12.70821256,7.228985507,7336,882,5.957487923,1.086928317,6166,d:/AndroidAnalysis/GatorAnalysisResults5/NewPipe_S1W1L1_2019-5-15@1560625183900_analysis/filteredTransactionEvaluation.csv,1332,153,42262,42250,31,Multimedia,Tools,4576,857,14599,30357,151322,21,64,52,12,57,24,26,11,2,200,333,143
