Project,IFPUG,COSMIC,Tran_Num,UseCase_Num,LOG_SLOC,SLOC,SLOC1,KSLOC,, UUCP,SWTIII,Log_Effort,Effort,Effort1,Effort2,Component_Num,Precedence_Num,Stimulus_Num,Response_Num,Tran_Num,UseCase_Num,Activity_Num,Actor_Num,Boundary_Num,ControlNum,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD,Arch_Diff,DET,RET,ILF,EIF,EI,EO,EQ,FN,IFPUG,NI,NE,MKII,EXT,ERY,RED,WRT,COSMIC,COSMIC,UAW,TCF,EF,Simple_UC,Average_UC,Complex_UC, UUCP, UCP,NOET,NOAAE,NORT,NEM,NSR,NOS,WMC,MPC,DIT,NIVPC,NUMS,NCI,NCIF,RR,NTLC,NOCPBC,NT,NOA,NOUC,NOR,ANAPUC,ANRPUC,NOC,NOIR,NOUR,NORR,NOM,NOP,NOCA,NOASSOC,ANMC,ANPC,ANCAC,ANASSOCC,ANRELC,NOAPC,NODET,NORET,NOMPC,NPPM,NMT,transaction_file,Duration,Personnel,PublishTime,StartTime,ActivePersonnel,Type,Commits,Files,Blanks,Comments,SLOC,Screens,UI Elements,Input Elements,Output Elements,Operations, Services, Activities, BroadcastReceivers, ContentProviders, LayoutFiles, Views, Screens, EventHandlers
OmniNotes_S1W1L1_2019-4-28@1559051391827,134,334.32,0,10,7.142155721,1264.15061,7691,7.691,1,85,0,8.410952558,4520,4520,4520,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4766,4,134,0,0,0,0,0,134,0,0,121.21,213.11,0,0,0,334.32,334.32,2,1,1,5,3,2,85,87,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,10,1,1.125,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d:/AndroidAnalysis/GatorAnalysisResults4/S1W1L1_5_29/OmniNotes_S1W1L1_2019-4-28@1559051391827_analysis/filteredTransactionEvaluation.csv,1928,20,42233,41575,22,tools/productivty/notes,Tools,2861,369,4811,7691,35109,26,109,0,0,65,30,26,24,5,247,0,0
opencamera_S1W1L1_2019-5-15@1560625238642,118,144.8,53,16,7.331076899,1527.025339,11350,11.35,1,80,423.0669916,10.0882291,24212,4212,24212,8,10140,53,53,53,16,10140,2,2,6,0,0,0,8,0,8,0,8,19,8,1267.625,2934984.5,3720459727,7340,8,62,0,0,0,56,16,118,53,53,120.8,15.02,8.98,0,0,144.8,144.8,4,1,1,16,0,0,80,84,8,3168,9931,2088,3874,15,126.3195266,9.579881657,1.134228188,1.127218935,3874,40,16,421,298,0.134228188,53,2,16,2,1.133333333,8.5,338,40,421,37,3238,3112,3168,9433,9.579881657,0.961087091,9.372781065,27.90828402,29.3816568,9.372781065,3025,295,9.579881657,0.961087091,3238,d:/AndroidAnalysis/GatorAnalysisResults5/opencamera_S1W1L1_2019-5-15@1560625238642_analysis/filteredTransactionEvaluation.csv,0,0,43699,41560,0,Multimedia,Tools,0,356,8590,11350,104621,15,151,148,3,31,14,7,9,2,36,384,139
OrientSwitch_S1W1L1_2019-4-16@1558026692483,98,9,9,3,7.658101697,2117.733511,19232,19.232,1,15,9.573279972,8.335666083,4192,2192,2192,4,9,9,9,9,3,9,1,1,2,1,0,0,5,0,5,0,5,0,5,2,9,18,72,4,65,5,0,0,28,9,98,9,9,21.2,2.97,6.03,0,0,9,9,2,1,1,3,0,0,15,15,4,72,178,43,10,3,31.36,2.52,1.136363636,0.48,10,3,2,15,22,0.136363636,9,1,3,1,1.333333333,1.333333333,25,3,15,2,63,47,72,158,2.52,0.746031746,2.88,6.32,7.12,2.88,45,14,2.52,0.746031746,63,d:/AndroidAnalysis/GatorAnalysisResults_rufus/OrientSwitch_S1W1L1_2019-4-16@1558026692483_analysis/filteredTransactionEvaluation.csv,,,,,,,,,,,19232,,,,,,2,3,4,2,1,0,0,0
prey_S1W1L1_2019-4-28@1559052797326,90,290,28,3,7.355026059,1564.037752,4274,4.274,1,20,193.443204,7.79482792,2440,2440,2440,8,1457,28,28,28,3,1457,1,1,7,0,0,0,2,0,2,0,2,7,2,705.5,277494.5,195772369.8,0,0,0,0,0,0,0,0,0,28,26,61.48,94.04,195.96,0,0,290,290,2,1,1,2,1,0,20,22,8,3658,3416,1561,2991,8,68.86352357,5.325062035,1.086253369,0.523573201,2991,32,6,239,371,0.086253369,28,1,3,1,1.125,9,403,32,239,25,2146,2067,3658,3120,5.325062035,0.963187325,9.076923077,7.741935484,8.476426799,9.076923077,3613,279,5.325062035,0.963187325,2146,d:/AndroidAnalysis/GatorAnalysisResults4/S1W1L1_5_29/prey_S1W1L1_2019-4-28@1559052797326_analysis/filteredTransactionEvaluation.csv,2838,3,41771,40701,9,Game/role playing,Tools,727,359,7728,4274,36358,6,17,0,0,13,46,38,32,4,243,445,100
PullUpMenu_S1W1L1_2019-4-16@1558026695747,99,66,11,10,6.58671498,725.3940178,39871,39.871,1,80,29.77920039,7.245347344,1408,1408,1408,8,147,11,11,11,10,147,1,3,5,0,0,0,6,0,6,0,6,2,6,25.33333333,611.6666667,15495.55556,763,8,59,0,0,0,40,11,99,11,11,26.72,21.78,44.22,0,0,66,66,2,1,1,5,4,1,80,80,8,763,908,83,204,10,58.66666667,4.444444444,1.046511628,0.933333333,204,2,2,44,43,0.046511628,11,1,10,1,1.1,1.1,45,2,44,2,200,125,763,860,4.444444444,0.625,16.95555556,19.11111111,20.17777778,16.95555556,750,35,4.444444444,0.625,200,d:/AndroidAnalysis/GatorAnalysisResults_rufus/PullUpMenu_S1W1L1_2019-4-16@1558026695747_analysis/filteredTransactionEvaluation.csv,,,,,,,,,,,39871,,,,,,4,1,2,1,31,0,0,0
rcbackground_S1W1L1_2019-4-16@1558026705258,91,8,8,3,7.30536994,1488.270431,30088,30.088,1,35,8.509582197,7.245347344,1408,1408,1408,2,8,8,8,8,3,8,1,2,0,0,0,0,3,0,3,0,3,0,3,2,3.333333333,6.666666667,125,2,67,0,0,0,24,8,91,8,8,18.44,2.64,5.36,0,0,8,8,2,1,1,0,2,1,35,35,2,125,1,12,0,2,13,1.083333333,1,0,0,0,0,0,12,0,8,1,3,1,1.5,1.5,12,0,0,0,13,0,125,1,1.083333333,0,10.41666667,0.083333333,0.083333333,10.41666667,8,4,1.083333333,0,13,d:/AndroidAnalysis/GatorAnalysisResults_rufus/rcbackground_S1W1L1_2019-4-16@1558026705258_analysis/filteredTransactionEvaluation.csv,,,,,,,,,,,30088,,,,,,7,6,7,2,4,0,0,0
RufusConnectAndroid_S1W1L1_2019-4-16@1558026707893,84,6,6,5,7.21042399,1353.466002,45125,45.125,1,65,6.382186648,8.128744494,3408,1408,1408,2,6,6,6,6,5,6,1,2,0,0,0,0,2,0,2,0,2,0,2,2,3,6,132,2,66,0,0,0,18,6,84,6,6,13.96,1.98,4.02,0,0,6,6,2,1,1,0,2,3,65,65,2,132,1,12,0,5,13,1.083333333,1,0,0,0,0,0,12,0,6,1,5,1,1.2,1.2,12,0,0,0,13,0,132,1,1.083333333,0,11,0.083333333,0.083333333,11,69,5,1.083333333,0,13,d:/AndroidAnalysis/GatorAnalysisResults_rufus/RufusConnectAndroid_S1W1L1_2019-4-16@1558026707893_analysis/filteredTransactionEvaluation.csv,,,,,,,,,,,45125,,,,,,7,6,8,2,10,0,0,0
RufusCuffLauncher_S1W1L1_2019-4-16@1558026710427,123,162,61,5,7.28380673,1456.522071,53674,53.674,1,50,211.521235,7.938056815,2816,2816,2816,7,217,61,64,61,5,217,1,3,4,0,0,0,25,0,25,0,25,9,25,8.96,568.68,5095.3728,1900,10,69,5,0,0,89,61,163,61,61,138.46,53.46,108.54,0,0,162,162,2,1,1,1,3,1,50,50,7,1900,4206,1139,467,5,73.72262774,5.912408759,1.395939086,1.149635036,467,77,35,392,197,0.395939086,61,1,5,1,1.2,1.2,274,78,392,68,1620,1670,1900,3668,5.912408759,1.030864198,6.934306569,13.38686131,15.35036496,6.934306569,1781,186,5.912408759,1.030864198,1620,d:/AndroidAnalysis/GatorAnalysisResults_rufus/RufusCuffLauncher_S1W1L1_2019-4-16@1558026710427_analysis/filteredTransactionEvaluation.csv,,,,,,,,,,,53674,,,,,,8,13,9,3,58,0,0,0
RufusLocation_S1W1L1_2019-4-16@1558026747018,118,54,49,2,7.701984305,2212.734378,6048,6.048,1,25,60.34691227,8.037941868,3112,2112,2112,6,59,49,49,49,2,59,2,3,2,1,0,0,32,0,32,0,32,3,32,2.5,25.0625,62.65625,1046,6,24,17,0,0,77,49,118,49,49,111.32,17.82,36.18,0,0,54,54,4,1,1,0,1,1,25,25,6,1046,508,84,73,2,53.95555556,4.266666667,1,0.6,73,0,0,27,45,0,49,2,2,2,1.5,2,45,0,27,0,192,155,1046,481,4.266666667,0.807291667,23.24444444,10.68888889,11.28888889,23.24444444,948,25,4.266666667,0.807291667,192,d:/AndroidAnalysis/GatorAnalysisResults_rufus/RufusLocation_S1W1L1_2019-4-16@1558026747018_analysis/filteredTransactionEvaluation.csv,,,,,,,,,,,6048,,,,,,8,17,12,2,40,0,0,0
RufusMms_S1W1L1_2019-4-16@1558026754899,198,475,190,4,8.04029367,3103.524469,93669,93.669,1,85,986.9443984,10.64136395,42112,2112,92112,7,5528,190,188,190,4,5528,1,5,2,0,0,0,69,0,69,0,69,25,69,79.91304348,122873,9819155.391,1518,10,92,45,0,0,46,190,183,190,190,427.42,142.75,332.25,0,0,475,475,2,1,1,0,1,3,55,55,7,1518,8099,1871,6315,4,101.1689498,7.445205479,1.244956772,0.860730594,6315,91,31,470,347,0.270893372,190,1,4,1,1.25,1.25,438,93,470,69,3261,3661,1518,7467,7.445205479,1.12266176,3.465753425,17.04794521,18.49086758,3.465753425,1155,303,7.445205479,1.12266176,3261,d:/AndroidAnalysis/GatorAnalysisResults_rufus/RufusMms_S1W1L1_2019-4-16@1558026754899_analysis/filteredTransactionEvaluation.csv,,,,,,,,,,,93669,,,,,,10,19,19,3,40,0,0,0
superCleanMaster_S1W1L1_2019-4-29@1559141333216,92,118,63,8,7.162194457,1289.738105,3524,3.524,1,40,10.63697775,8.041468112,3123,2123,2123,8,139,63,63,63,8,139,2,3,3,2,0,0,26,0,26,0,26,7,26,4.538461538,181.4230769,823.3816568,3550,8,62,0,0,0,30,10,92,63,63,143.2,38.94,79.06,0,0,118,118,4,1,1,8,0,0,40,44,8,3550,3351,916,607,8,72.97777778,5.737777778,1.213541667,0.582222222,607,33,13,170,192,0.239583333,63,2,8,2,1.25,5,225,39,170,32,1291,1342,3550,3110,5.737777778,1.03950426,15.77777778,13.82222222,14.89333333,15.77777778,3342,142,5.737777778,1.03950426,1291,d:/AndroidAnalysis/GatorAnalysisResults4/S1W1L1_5_29/superCleanMaster_S1W1L1_2019-4-29@1559141333216_analysis/filteredTransactionEvaluation.csv,1350,2,43699,42047,0,tools/system info,Tools,43,280,3611,3524,16175,16,32,0,0,15,17,36,15,2,154,0,0
Timber_S1W1L1_2019-4-29@1559141370065,127,123.32,1,27,7.343717215,1546.44993,3425,3.425,1,40,1.063697775,7.857147435,2597,2597,2597,8,1,1,1,1,27,1,1,1,6,1,0,0,1,0,1,0,1,0,1,2,1,2,7149,8,112,12,0,0,3,1,127,1,1,114.32,8.33,0.67,0,0,123.32,123.32,2,1,1,26,1,0,140,142,8,7149,7277,1739,4229,27,73.95501022,5.593047035,1.142857143,0.756646217,4229,62,23,436,427,0.154566745,1,1,27,1,1.037037037,28,489,66,436,42,2735,2858,7149,6733,5.593047035,1.044972578,14.6196319,13.76891616,14.88139059,14.6196319,7148,417,5.593047035,1.044972578,2735,d:/AndroidAnalysis/GatorAnalysisResults4/S1W1L1_5_29/Timber_S1W1L1_2019-4-29@1559141370065_analysis/filteredTransactionEvaluation.csv,1331,13,42373,42167,4,Music/Audio/tools,Entertainment,587,301,5715,3425,26818,53,168,0,0,60,0,0,0,0,235,0,0
wally_S1W1L1_2019-4-29@1559143564066,84,111,35,12,7.053870935,1157.330032,3162,3.162,1,60,53.31002126,7.255937714,1423,423,423,7,140,35,35,35,12,140,2,3,4,0,0,0,25,0,25,0,25,7,25,6.76,230.16,1555.8816,2308,7,8,7,0,0,9,11,24,35,35,80.22,36.63,74.37,0,0,111,111,4,1,1,12,0,0,60,64,7,2308,2833,789,1016,12,64.69421488,5.041322314,1.333333333,0.871900826,1016,50,30,275,192,0.333333333,35,2,12,2,1.166666667,7,242,64,275,57,1220,1347,2308,2437,5.041322314,1.104098361,9.537190083,10.07024793,11.70661157,9.537190083,2178,192,5.041322314,1.104098361,1220,d:/AndroidAnalysis/GatorAnalysisResults4/S1W1L1_5_29/wally_S1W1L1_2019-4-29@1559143564066_analysis/filteredTransactionEvaluation.csv,173,2,43699,41975,0,Finance,Entertainment,21,151,2462,3162,11454,22,49,0,0,19,6,7,9,2,62,0,0
WeatherWidget_S1W1L1_2019-4-16@1558027193482,117,8,8,3,7.361637091,1574.41191,6420,6.42,1,25,8.509582197,8.128744494,3408,1408,1408,9,8,8,8,8,3,8,2,1,7,1,0,0,8,0,8,0,8,0,8,2,8,16,907,12,93,0,0,0,24,8,117,8,8,20.26,2.64,5.36,0,0,8,8,4,1,1,1,2,0,25,25,9,907,995,340,4,3,58.63414634,4.804878049,1.28125,1.219512195,4,18,7,118,64,0.28125,8,2,3,2,1.333333333,1.666666667,82,18,118,15,394,396,907,844,4.804878049,1.005076142,11.06097561,10.29268293,12.13414634,11.06097561,881,54,4.804878049,1.005076142,394,d:/AndroidAnalysis/GatorAnalysisResults_rufus/WeatherWidget_S1W1L1_2019-4-16@1558027193482_analysis/filteredTransactionEvaluation.csv,,,,,,,,,,,6420,,,,,,2,3,5,2,27,0,0,0
