"","model1","model2","metric","direction","model1_mean","model2_mean","p_value","BH_p_value","bonferroni_p_value","cohen_d","index"
"32","IFPUG","SWTII","pred25","+","0.14","0.10","0.04","0.35","1","0.32","IFPUG-SWTII-pred25"
"43","IFPUG","SWTI","pred25","+","0.14","0.10","0.04","0.35","1","0.32","IFPUG-SWTI-pred25"
"3","SWTII","UCP","mmre","+","0.90","1.73","0.04","0.35","1","-1.54","SWTII-UCP-mmre"
"14","SWTI","UCP","mmre","+","0.90","1.73","0.04","0.35","1","-1.54","SWTI-UCP-mmre"
"39","COSMIC","SWTIII","pred25","+","0.16","0.14","0.04","0.35","1","0.15","COSMIC-SWTIII-pred25"
"38","IFPUG","SWTIII","pred25","+","0.14","0.14","0.04","0.35","1","0.01","IFPUG-SWTIII-pred25"
"9","SWTIII","UCP","mmre","+","0.86","1.73","0.04","0.35","1","-1.71","SWTIII-UCP-mmre"
"6","SWTII","SLOC","mmre","+","0.90","1.64","0.05","0.35","1","-1.43","SWTII-SLOC-mmre"
"33","COSMIC","SWTII","pred25","+","0.16","0.10","0.05","0.35","1","0.46","COSMIC-SWTII-pred25"
"44","COSMIC","SWTI","pred25","+","0.16","0.10","0.05","0.35","1","0.46","COSMIC-SWTI-pred25"
"17","SWTI","SLOC","mmre","+","0.90","1.64","0.05","0.35","1","-1.43","SWTI-SLOC-mmre"
