id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,remove vendor,control,1,1,Manage vendor,Manage vendor,
2,query vendor detail,control,1,1,Manage vendor,Manage vendor,
3,User info updated message,boundary,0,2,Manage vendor,Manage vendor,
4,notify amdin,control,1,1,Manage vendor,Manage vendor,
5,update vendor info,control,2,1,Manage vendor,Manage vendor,
6,vendor detail page,boundary,1,2,Manage vendor,Manage vendor,
7,redirect to vendor details page,control,2,1,Manage vendor,Manage vendor,
8,user list with edit and remove buttons,boundary,2,2,Manage vendor,Manage vendor,
9,vendor,entity,0,4,Manage vendor,Manage vendor,
10,redirect vendors page,control,2,1,Manage vendor,Manage vendor,
11,All vendors tab,boundary,1,1,Manage vendor,Manage vendor,
12,Admin,actor,4,0,Manage vendor,Manage vendor,
