id,element,attributeNum,operationNum,instanceVarNum,externalOperNum,parameterNum,weightedOperNum,numberOfDerivedClasses,numberOfChildren,numberOfClassesInherited,depthInheritanceTree,numberOfDerivingClasses,isTopLevelClass,numberOfClassesInheritedFrom,numberOfInheritanceRelationships,numberOfAssociatedClasses,numberOfAssociatingClasses,numberOfAssociationRelationships,numberOfUsedClasses,numberOfUsingClasses,numberOfUsageRelationships,couplingBetweenObjects
1,$help://use_case_model_pattern.htm,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
2,$help://usecasediagram.htm,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
3,$help://actor.htm,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
4,System Boundary,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
5,$help://domain_model_pattern.htm,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
6,Account,3,0,3,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
7,Activity_code,4,0,4,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
8,Activity_code,4,0,4,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
9,Admin,1,0,1,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
10,Case Manager,2,0,2,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
11,Case_account,2,0,2,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
12,Case_addresses,8,0,8,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
13,Case_answers,4,0,4,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
14,Case_contacts,10,0,10,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
15,Case_education_history,9,0,9,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
16,Case_email,4,0,4,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
17,Case_ethnicities,1,0,1,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
18,Case_work_history,8,0,8,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
19,Cases,10,0,10,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
20,Cases_Activities,7,0,7,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
21,Document,5,0,5,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
22,Document_version,8,0,8,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
23,Documentation Type,3,0,3,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
24,Education Level,3,0,3,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
25,Email Template,11,0,11,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
26,Ethnicities,3,0,3,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
27,General_User,1,0,1,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
28,Groups,3,0,3,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
29,Limited_User,3,0,3,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
30,Manager,2,0,2,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
31,Password,3,0,3,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
32,Questions,3,0,3,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
33,Security Question,2,0,2,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
34,Services,4,0,4,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
35,Template Attachment,4,0,4,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
36,User Security Question,8,0,8,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
37,User_tokens,3,0,3,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
38,Users,19,0,19,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
