NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Arch_Diff,SWTI,SWTII,SWTIII
1,Activate user,24,34,0,26,12,9,0,0,0,1,0,4,0,1,20,4,38,5.6328125,32,0,214.046875,15,15,12
2,Check case information,63,47,0,29,18,9,0,0,0,13,0,18,0,13,45,18,16.72222222222222,4.504201680672269,13.222222222222221,0,75.3202614379085,15,15,12
3,Create a new case,26,31,0,21,15,2,0,0,0,8,0,10,0,8,16,10,12.4,4.26530612244898,9.8,0,52.88979591836735,10,12,11
4,Create a youth user,9,20,0,15,2,7,0,0,0,2,0,9,0,2,0,9,3.7777777777777777,3.16,2.7777777777777777,0,11.937777777777779,10,9,7
5,Create high-level user,10,20,0,15,9,1,0,0,0,1,0,2,0,1,8,2,25.5,2.5609756097560976,20.5,0,65.3048780487805,20,20,19
6,Edit case,46,45,0,29,12,5,0,0,0,0,0,12,0,0,34,12,21.416666666666668,7.644549763033176,17.583333333333332,0,163.7207740916272,20,22,19
7,Edit user,22,28,0,22,12,4,0,0,0,1,0,2,0,1,20,2,78,5.858208955223881,67,0,456.94029850746267,15,15,12
8,Inactivate user,11,19,0,14,4,6,0,0,0,0,0,3,0,0,8,3,16,2.6216216216216215,12.333333333333334,0,41.945945945945944,15,15,12
9,Log an activity,35,37,0,22,20,1,0,0,0,5,0,5,0,5,30,5,34,10.88888888888889,27,0,370.22222222222223,20,28,20
10,Login,20,32,0,22,13,2,0,0,0,2,0,4,0,2,16,4,20,4.1,15,0,82,15,15,12
11,Mass Email,36,42,0,27,5,13,0,0,0,6,0,21,0,6,15,21,9,5.098039215686274,7.285714285714286,0,45.882352941176464,10,10,9
12,Report generation,43,39,0,26,6,10,0,0,0,5,0,22,0,5,21,22,10.681818181818182,4.697916666666667,8.727272727272727,0,50.18229166666667,20,20,19
13,Reset Password,22,29,0,19,9,5,0,0,0,4,0,10,0,4,12,10,9.6,3.4324324324324325,7.4,0,32.95135135135135,10,10,9
14,Reset Security Questions,22,29,0,19,3,12,0,0,0,6,0,22,0,6,0,22,4.363636363636363,9.837837837837839,3.3636363636363638,0,42.92874692874693,10,15,13
15,Upload document,22,30,0,20,9,10,0,0,0,4,0,10,0,4,12,10,10,4.102564102564102,7.8,0,41.02564102564102,20,20,19
16,View document,39,37,0,25,9,12,0,0,0,21,0,39,0,21,0,39,5,4.846153846153846,4,0,24.23076923076923,15,15,12
