id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Total Number of Likes,boundary,0,2,Unlike Picture,Unlike Picture,
2,Like Information,entity,0,1,Unlike Picture,Unlike Picture,
3,remove the user liking information,control,2,1,Unlike Picture,Unlike Picture,
4,The heart icon on picture,boundary,1,1,Unlike Picture,Unlike Picture,
5,User,actor,2,0,Unlike Picture,Unlike Picture,
