NUM, UC, total_links, actor_num, boundary_num, control_num, entity_num, element_num, DM, INT, CTRL, EXTIVK, EXTCLL, TRAN_NA, TN, EI, EO, EQ, FUNC_NA, FN, average_degree,average_path_length,ArchDiff,PathNum,EUCPW,EXUCPW
1,Login/Logout,10,1,4,2,2,9,2,2,4,0,0,0,4,2,0,0,0,0,1.1111111111111112,4,4.444444444444445,4,10,8
2,Forgets password,10,2,3,3,1,9,2,1,4,1,0,0,4,1,0,0,0,0,1.1111111111111112,4,4.444444444444445,4,10,8
3,Add users,8,1,3,2,1,7,2,1,3,0,0,0,3,1,0,0,0,0,1.1428571428571428,4,4.571428571428571,3,5,7
4,Delete users,9,1,3,2,1,7,2,2,4,0,0,0,4,2,0,0,0,0,1.2857142857142858,4,5.142857142857143,4,10,8
5,Modify user information,11,1,4,2,1,8,3,2,5,0,0,0,5,2,0,0,0,0,1.375,4,5.5,5,10,11
6,Manage teams/volunteers/girls,25,1,6,6,3,16,5,9,14,0,0,0,14,9,0,0,0,0,1.5625,4.642857142857143,7.2544642857142865,14,15,24
7,Import data from csv,17,1,4,5,1,11,5,3,8,0,0,0,8,3,0,0,0,0,1.5454545454545454,4.75,7.340909090909091,8,15,18
8,Export attendance,17,2,4,4,2,12,5,5,10,0,0,0,10,5,0,0,0,0,1.4166666666666667,4.4,6.233333333333334,10,15,20
9,Monitor attendance,9,1,3,2,1,7,2,2,4,0,0,0,4,2,0,0,0,0,1.2857142857142858,4,5.142857142857143,4,10,8
10,Record attendance,12,1,4,3,2,10,3,2,5,0,0,0,5,2,0,0,0,0,1.2,4.4,5.28,5,10,11
