id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,System Boundary,0,0,0,0,0,0
2,User,0,0,0,0,0,0
3,Hashtag icon,0,0,0,0,0,0
4,Search Result,0,0,0,0,0,0
5,Picture Display,0,0,0,0,0,0
6,Admin,0,0,0,0,0,0
7,Private Event Name and Password Input,0,0,0,0,0,0
8,Warning information of duplicate,0,0,0,0,0,0
9,Delete Button,0,0,0,0,0,0
10,The total number of likes,0,0,0,0,0,0
11,App Main Page,0,0,0,0,0,0
12,Clear Local Storage and Exit,0,0,0,0,0,0
13,Options to post,0,0,0,0,0,0
14,report confirm dialog,0,0,0,0,0,0
15,download to phone,0,0,0,0,0,0
