NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Avg_DETs, Arch_Diff,EI,EO,EQ,FN,SWTI,SWTII,SWTIII
1,Browse Event Pictures,4,16,0,12,4,8,0,0,0,0,0,2,0,0,2,2,12,NaN,NaN,10,NaN,0,0,16,4,4.0592,6.1693999999999996,6.3582
2,Browse Users,4,11,0,8,8,0,0,0,0,1,0,1,0,1,3,1,16,NaN,NaN,12,NaN,0,0,16,4,4.0592,4.3976999999999995,4.6672
3,Change App Settings,2,8,0,6,0,6,0,0,0,0,0,2,0,0,0,2,5,NaN,NaN,4,NaN,0,0,8,2,2.0296,2.2497,2.3336
4,Create Private Event,8,10,0,8,2,6,0,0,0,4,0,8,0,4,0,8,6,NaN,NaN,5,NaN,0,0,32,8,8.1184,12.5422,12.7164
5,Create Public Events,3,8,0,6,2,4,0,0,0,2,0,3,0,2,0,3,3.3333333333333335,NaN,NaN,2.3333333333333335,NaN,0,0,12,3,3.0443999999999996,3.2220000000000004,3.5004
6,Delete Event,5,11,0,9,3,6,0,0,0,0,0,0,0,0,5,0,0,NaN,0,0,NaN,0,0,20,5,5.074,6.408399999999999,6.679500000000001
7,Delete Picture,4,9,0,7,5,2,0,0,0,0,0,0,0,0,4,0,0,NaN,0,0,NaN,0,0,16,4,4.0592,5.3344,5.512700000000001
8,Generate Statistics Report,3,7,0,5,0,5,0,0,0,0,0,3,0,0,0,3,3.3333333333333335,NaN,NaN,2.3333333333333335,NaN,0,0,12,3,3.0443999999999996,3.2220000000000004,3.5004
9,Like Picture,3,7,0,5,4,1,0,0,0,1,0,1,0,1,2,1,10,NaN,NaN,7,NaN,0,0,12,3,3.0443999999999996,3.2220000000000004,3.5004
10,Login,5,9,0,7,6,1,0,0,0,1,0,1,0,1,4,1,19,NaN,NaN,14,NaN,0,0,20,5,5.074,5.37,5.8340000000000005
11,Logout,1,4,0,3,1,0,2,0,0,0,0,0,0,0,1,0,0,NaN,0,0,NaN,0,0,4,1,1.0148,1.074,1.1668
12,Post Picture,13,24,0,20,7,13,0,0,0,0,0,1,0,0,12,1,100,NaN,NaN,87,NaN,0,0,52,13,13.192399999999996,22.5957,22.7779
13,Register,3,7,0,5,5,0,0,0,0,1,0,1,0,1,2,1,10,NaN,NaN,7,NaN,0,0,12,3,3.0443999999999996,3.2220000000000004,3.5004
14,Report Picture - Submit,3,9,0,7,7,0,0,0,0,0,0,0,0,0,3,0,0,NaN,0,0,NaN,0,0,12,3,3.0443999999999996,3.3236999999999997,3.5004
15,Restore Reported Picture,1,4,0,3,1,2,0,0,0,1,0,1,0,1,0,1,4,NaN,NaN,3,NaN,0,0,4,1,1.0148,1.074,1.1668
16,Save Picture to Device,3,6,0,5,0,4,1,2,0,0,2,3,0,2,0,3,5.333333333333333,NaN,NaN,4.333333333333333,NaN,0,0,12,3,3.0443999999999996,3.4254,3.5004
17,Search Events,3,7,0,5,0,5,0,0,0,0,0,3,0,0,0,3,3.3333333333333335,NaN,NaN,2.3333333333333335,NaN,0,0,12,3,3.0443999999999996,3.2220000000000004,3.5004
18,Search Pictures,4,11,0,8,2,6,0,0,0,0,0,2,0,0,2,2,8,NaN,NaN,6,NaN,0,0,16,4,4.0592,4.3977,4.6672
19,Sort Pictures,5,13,0,9,1,8,0,0,0,0,0,3,0,0,2,3,6,NaN,NaN,4.333333333333333,NaN,0,0,20,5,5.074,5.4717,5.8340000000000005
20,Suspend User - Confirm,5,11,0,8,8,0,0,0,0,1,0,1,0,1,4,1,22,NaN,NaN,17,NaN,0,0,20,5,5.074,5.5733999999999995,5.8340000000000005
21,Unlike Picture,3,7,0,5,4,1,0,0,0,1,0,1,0,1,2,1,10,NaN,NaN,7,NaN,0,0,12,3,3.0443999999999996,3.2220000000000004,3.5004
22,Update Event,7,14,0,11,5,6,0,0,0,0,0,0,0,0,7,0,0,NaN,0,0,NaN,0,0,28,7,7.1036,10.4298,10.704100000000002
23,View Nearby Pictures,1,4,0,3,1,2,0,0,0,0,0,0,0,0,1,0,0,NaN,0,0,NaN,0,0,4,1,1.0148,1.074,1.1668
24,View Specific Picture,1,4,0,3,0,3,0,0,0,0,0,1,0,0,0,1,4,NaN,NaN,3,NaN,0,0,4,1,1.0148,1.074,1.1668
