id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Partner Info,entity,0,1,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard,
2,Temporary storage,entity,0,3,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard,
3,Display redemption statistics screen,control,2,1,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard,
4,Chooses filtering or sorting option,control,2,1,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard,
5,Query Transaction Log and Partner Info,control,4,2,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard,
6,Filter and sort result,control,2,2,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard,
7,Leave Reemption statistics screen,control,1,1,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard,
8,Administrator,actor,2,0,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard,
9,Transaction Log,entity,0,1,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard,
10,Redemption statistics screen,boundary,3,2,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard,
