SWTIII,$e=a*\sum w_t$,LSR,0.54,$<$0.001,1
SWTII,$e=a*\sum w_t$,LSR,0.53,$<$0.001,2
IFPUG,$e=a*afp+b$,LSR,0.53,$<$0.001,2
SWTI,$e=a*\sum w_t$,LSR,0.47,$<$0.001,4
LOG SLOC,$e=a*sloc^c$,LSR,0.32,$<$0.001,5
COSMIC,$e=a*csmc+b$,LSR,0.25,$<$0.001,6
SLOC,$e=a*sloc+b$,LSR,0.21,0.001,7
UCP,$e=a*uucp+b$,LSR,0.16,0.005,8
