1,0.99,0.82,0.32,0.53,0.51,0.51,0.35
0.99,1,0.88,0.34,0.54,0.54,0.51,0.35
0.82,0.88,1,0.41,0.55,0.58,0.51,0.39
0.32,0.34,0.41,1,0.39,0.22,0.42,0.42
0.53,0.54,0.55,0.39,1,0.46,0.48,0.38
0.51,0.54,0.58,0.22,0.46,1,0.4,0.35
0.51,0.51,0.51,0.42,0.48,0.4,1,0.94
0.35,0.35,0.39,0.42,0.38,0.35,0.94,1
